"id","query","agent","topic","batch"
"1109","我在新建工单的时候，在我的相关信息栏需要提供服务ID，这个服务ID是什么？在哪里获取","工单管理","知识","第二批"
"1110","续费有什么优惠吗","活动优惠券","","第二批"
"1111","请为以下代码添加简洁明了且无歧义的中文注释。 #代码： ```java Properties info = (Properties) redisTemplate.execute((RedisCallback<Object>) connection -> connection.info()); Properties commandStats = (Properties) redisTemplate.execute((RedisCallback<Object>) connection -> connection.info(""commandstats"")); Object dbSize = redisTemplate.execute((RedisCallback<Object>) connection -> connection.dbSize()); Map<String, Object> result = new HashMap<>(3); result.put(""info"", info); result.put(""dbSize"", dbSize); List<Map<String, String>> pieList = new ArrayList<>(); commandStats.stringPropertyNames().forEach(key -> { Map<String, String> data = new HashMap<>(2); String property = commandStats.getProperty(key); data.put(""name"", StringUtils.removeStart(key, ""cmdstat_"")); data.put(""value"", StringUtils.substringBetween(property, ""calls="", "",usec"")); pieList.add(data); }); result.put(""commandStats"", pieList); return Result.success(result); ``` #要求： 1.不得修改代码，即使代码不完整也禁止改变原有代码内容和注释，禁止添加任何非注释代码。 2.如果代码为函数或者类，则生成函数级别的块注释，包含每个参数和返回值说明，需要符合JavaDoc、PEP等docstring规范。 3.如果代码为不完整片段只需要添加行注释。 4.导入包代码无需注释。","知识Agent","知识问答","第二批"
"1112","查找账户下未归集企业项目账单明细","账单与成本管理","账单查询","第二批"
"1113","查询大数据生产企业项目账单明细","账单与成本管理","账单查询","第二批"
"1114","查询账户下近3个月账单情况","账单与成本管理","账单查询","第二批"
"1115","查询账户下不同云产品的账单情况","账单与成本管理","账单查询","第二批"
"1116","钱汇错账号了","知识Agent","知识问答","第二批"
"1117","微认证活动","活动优惠券","","第二批"
"1118","委托数量配额申请","配额管理","配额","第二批"
"1119","请为以下代码添加简洁明了且无歧义的中文注释。 #代码： ```java List<RouterVo> routers = new LinkedList<RouterVo>(); List<SysPlatformDir> dirList = sysPlatformDirMapper.selectList(new QueryWrapper<SysPlatformDir>().in(""dir_id"", menus.stream().map(x -> x.getDirId()).collect(Collectors.toList()))); List<SysPlatform> platformList = sysPlatformMapper.selectList(new QueryWrapper<SysPlatform>().in(""platform_id"", dirList.stream().map(x -> x.getPlatformId()).collect(Collectors.toList()))); List<SysPlatformDir> roots = new ArrayList<>(); deepDir(dirList, roots, platformList); handleDir(roots, null, routers, menus); return routers; ``` #要求： 1.不得修改代码，即使代码不完整也禁止改变原有代码内容和注释，禁止添加任何非注释代码。 2.如果代码为函数或者类，则生成函数级别的块注释，包含每个参数和返回值说明，需要符合JavaDoc、PEP等docstring规范。 3.如果代码为不完整片段只需要添加行注释。 4.导入包代码无需注释。","知识Agent","知识问答","第二批"
"1120","在控制台切换哪里可进入浙江的数据中心","页面导航","快捷导航","第二批"
"1121","域名续费优惠券","活动优惠券","","第二批"
"1122","费用中心--账单明细中资源名称/ID 为什么找不到对应的服务（ecs-3431-bandwidth-5514/31d0eb16-1a0e-4ded-aa72-00de937ba394）","账单与成本管理","账单rag","第二批"
"1123","域名续费有哪些优惠？","活动优惠券","","第二批"
"1124","公有云专业服务的成本测算规则是什么","知识Agent","知识问答","第二批"
"1125","续费-续费有什么优惠吗？","活动优惠券","","第二批"
"1126","我的资源里没有ECS服务器，但任在运行扣费","账单与成本管理","扣费溯源","第二批"
"1127","如何删除资源","资源管理","知识问答","第二批"
"1128","如何一键删除账号上所有资源","资源管理","知识问答","第二批"
"1129","SIM卡购买入口","页面导航","快捷导航","第二批"
"1130","如何联系技术支持？","转人工","转人工","第二批"
"1131","工单催单","工单管理","知识","第二批"
"1132","如何调用","知识Agent","知识问答","第二批"
"1133","nsufficient permissions 错误码1：SVCSTG.SWR.4030170 错误信息1：[pdp3]You don't have permission to operate, The following permissions are repuired: swr:namespace:createNamespace","知识Agent","知识问答","第二批"
"1134","云服务器创建了策略任务，如何找到备份的内容","ECS云服务使用","","第二批"
"1135","创建IAM子账号的时候会自动创建华为账号吗","知识Agent","知识问答","第二批"
"1136","ELB添加访问控制提示配额不足","配额管理","配额","第二批"
"1137","数字人可以参加暗促吗","活动优惠券","","第二批"
"1138","更改备案名称","知识Agent","知识问答","第二批"
"1139","变更网站名称","知识Agent","知识问答","第二批"
"1140","备案人工服务","转人工","转人工","第二批"
"1141","麻烦帮我注销这个账户","知识Agent","知识问答","第二批"
"1142","没有公网ip，云服务器不能上网吗？","ECS云服务使用","","第二批"
"1143","NAT网关费用是多少？","账单与成本管理","账单查询","第二批"
"1144","https://support.huaweicloud.com/api-cci/patchCoreV1NamespacedService.html#section7","知识Agent","知识问答","第二批"
"1145","云原生监控插件修改配置","知识Agent","知识问答","第二批"
"1146","Autopilot集群上线的区域有哪些","知识Agent","知识问答","第二批"
"1147","api 文档","知识Agent","知识问答","第二批"
"1148","云服务名称 是指什么，举个例子","知识Agent","知识问答","第二批"
"1149","资源类型名称是什么","知识Agent","知识问答","第二批"
"1150","https://coc.myhuaweicloud.com/v1/resources 这个 api 接口的参数例子","知识Agent","知识问答","第二批"
"1151","怎么更改IP地址","知识Agent","知识问答","第二批"
"1152","我如何将我的gaussDB实例连接外网？","知识Agent","知识问答","第二批"
"1153","个体工商户认证的企业账号怎么提现余额","知识Agent","知识问答","第二批"
"1154","通过镜像创建服务器对磁盘的要求","ECS云服务使用","","第二批"
"1155","镜像的大小取决于数据量的大小还是磁盘的大小","知识Agent","知识问答","第二批"
"1156","服务器镜像镜像的大小取决于数据量的大小还是磁盘的大小","ECS云服务使用","","第二批"
"1157","RAm","知识Agent","知识问答","第二批"
"1158","RAM服务","知识Agent","知识问答","第二批"
"1159","SWR服务","知识Agent","知识问答","第二批"
"1160","SFS","知识Agent","知识问答","第二批"
"1161","云解析服务 DNS  api","知识Agent","知识问答","第二批"
"1162","recordset_id查看","资源管理","资源查询","第二批"
"1163","查看域名ID","资源管理","资源查询","第二批"
"1164","记录集id查看","资源管理","资源查询","第二批"
"1165","CS2505251130R77GA","知识Agent","知识问答","第二批"
"1166","RDS实例是什么","知识Agent","知识问答","第二批"
"1167","如何登陆","知识Agent","知识问答","第二批"
"1168","买了 codeart基础版 为什么 wiki不能用","知识Agent","知识问答","第二批"
"1169","对公账户","知识Agent","知识问答","第二批"
"1170","怎么查看对公账户","知识Agent","知识问答","第二批"
"1171","页面怎么看","知识Agent,页面导航","知识问答","第二批"
"1172","实名认证没有企业认证","知识Agent","知识问答","第二批"
"1173","由于无法及时建立会话，我们无法连接到远程电脑。如果问题仍然存在，请联系网络管理员以寻求帮助。","转人工","转人工","第二批"
"1174","修改域名邮箱","知识Agent","知识问答","第二批"
"1175","修改域名资料的电子邮箱","知识Agent","知识问答","第二批"
"1176","三方协议","知识Agent","知识问答","第二批"
"1177","三方协议说明函","知识Agent","知识问答","第二批"
"1178","华为云，报错：Installation failed: Download failed. cURL error 60: Peer's Certificate issuer is not recognized.","知识Agent","知识问答","第二批"
"1179","host_group哪里创建","知识Agent","知识问答","第二批"
"1180","标注文件格式说明","知识Agent","知识问答","第二批"
"1181","标注信息文件如何生成？","知识Agent","知识问答","第二批"
"1182","证书服务配额不足","配额管理","配额","第二批"
"1183","elb 证书服务配额不足","配额管理","配额","第二批"
"1184","【ELB】ELB能将ipv6流量转给后端是ipv4的服务器，ELB前边是ipv6, 后边是ipv4","知识Agent","知识问答","第二批"
"1185","如何让不同的用户可以根据定的权限来访问obs中的文件呢","知识Agent","知识问答","第二批"
"1186","IAM用户组最多可包含多少用户？","知识Agent","知识问答","第二批"
"1187","密评","知识Agent","知识问答","第二批"
"1188","域名解析只能配置备案的服务器吗","ECS云服务使用","","第二批"
"1189","请问如果需要部署deepseek满血版模型服务器要什么配置？","ECS云服务使用","辅助购买","第二批"
"1190","工单怎么查不到","工单管理","知识","第二批"
"1191","D2025052530261","知识Agent","知识问答","第二批"
"1192","使用负载均衡连接redis实例时，出现无法访问的情况，负载均衡和redis处于同一个VPC中","知识Agent","知识问答","第二批"
"1193","gaussdb里怎么求一个表的中位数","知识Agent","知识问答","第二批"
"1194","云桌面剪切板重定向有哪些模式","知识Agent","知识问答","第二批"
"1195","obsutil 上传文件时，会向本地的./.obsutil_output 写入成功和失败的日志，如何设置不写入成功的日志","知识Agent","知识问答","第二批"
"1196","平台名称是","知识Agent","知识问答","第二批"
"1197","平台备案编号","知识Agent","知识问答","第二批"
"1198","怎么试用华为盘古大模型","活动优惠券","","第二批"
"1199","obs可以绑定多个自定义域名吗","知识Agent","知识问答","第二批"
"1200","远程连接公网ip经常断开，还不能立马恢复","知识Agent","知识问答","第二批"
"1201","网关在上报数据的时候以布尔类型数据上报到平台是 false或者TRUE，能调整数字上报位0或者1的形式嘛？","知识Agent","知识问答","第二批"
"1202","我想降低我的弹性公网IP的带宽、","知识Agent","知识问答","第二批"
"1203","ELB可以变更规格吗？","知识Agent","知识问答","第二批"
"1204","怎么把固定规格的变更为弹性规格的","知识Agent","知识问答","第二批"
"1205","帮忙看看 这个负载为啥升级独享失败","知识Agent","知识问答","第二批"
"1206","app备案成功了，可以使用备案app的域名访问网站吗","知识Agent","知识问答","第二批"
"1207","配置自定义域名和配置加速域名的区别","知识Agent","知识问答","第二批"
"1208","我这边接口调用节点池弹节点，但是会遇到资源不足的情况，我想提前查一下这些资源剩余多少，这个类型不足的话我弹其他的\n我想自动化，不想人工介入","知识Agent","知识问答","第二批"
"1209","目前这个账号一共有多少个正在使用的资源","资源管理","资源查询","第二批"
"1210","如何备份","知识Agent","知识问答","第二批"
"1211","如何向企微机器人发送确认订阅消息","知识Agent","知识问答","第二批"
"1212","smn中无法绑定企微","知识Agent","知识问答","第二批"
"1213","请求订阅企微机器人一直收不到消息","知识Agent","知识问答","第二批"
"1214","企微机器人在添加订阅的时候使用何种协议","知识Agent","知识问答","第二批"
"1215","查看白名单","知识Agent","知识问答","第二批"
"1216","V100显存","知识Agent","知识问答","第二批"
"1217","T4卡显存","知识Agent","知识问答","第二批"
"1218","cuda12.2","知识Agent","知识问答","第二批"
"1219","waf可以拦截域名吗？","知识Agent","知识问答","第二批"
"1220","云服务器，ssh可以登陆，但是Ping无法访问","ECS云服务使用,知识Agent","","第二批"
"1221","80端口以放开，但是Http请求无法访问","知识Agent","知识问答","第二批"
"1222","云服务器怎解绑","ECS云服务使用","","第二批"
"1223","服务器怎么解绑账户","ECS云服务使用","","第二批"
"1224","如何查看 资源是谁购买的。","资源管理","知识问答","第二批"
"1225","在maas购买token，然后通过API调用，maas支撑多大的并发调用","知识Agent","知识问答","第二批"
"1226","推理服务的并发多大","知识Agent","知识问答","第二批"
"1227","在maas购买token，然后通过API调用进行推理服务，maas支撑多大的并发调用","知识Agent","知识问答","第二批"
"1228","1433端口能开放么","知识Agent","知识问答","第二批"
"1229","云服务器安全组怎么关闭","资源管理","资源关机","第二批"
"1230","你好，我问下云内200Mbps/云外50Mbps 是什么意思","知识Agent","知识问答","第二批"
"1231","带宽20Mbit/s，入网带宽与出网带宽是多少","知识Agent","知识问答","第二批"
"1232","怎么注销","知识Agent","知识问答","第二批"
"1233","因等保备案更新需要，想咨询一下咱们华为公有云的数据存储机房具体位置在哪儿","知识Agent","知识问答","第二批"
"1234","已经部署了32B版本，可以再升级吗","知识Agent","知识问答","第二批"
"1235","如果快速搭建了deepseek推理系统，选择了32B版本的配置，以后还可以升级到70B或更高的版本吗","知识Agent","知识问答","第二批"
"1236","如何获取客户端IP","知识Agent","知识问答","第二批"
"1237","ELB获取客户端IP","知识Agent","知识问答","第二批"
"1238","怎么重启","资源管理,知识Agent","知识问答","第二批"
"1239","好卡啊","知识Agent","知识问答","第二批"
"1240","我ssh登录都登不上","知识Agent","知识问答","第二批"
"1241","这个文档中的 LB 有什么用 ？","知识Agent","知识问答","第二批"
"1242","错误码 SVCSTG.SWR.4030170了解更多 错误信息 Insufficient permissions 错误码1：SVCSTG.SWR.4030170 错误信息1：[pdp3]You don't have permission to operate, The following permissions are repuired: swr:namespace:createNamespace 请求 /rest/swr-public/v2/manage/namespaces","知识Agent","知识问答","第二批"
"1243","如何购买RDS的MySQL实例？","知识Agent","知识问答","第二批"
"1244","创建 arn 角色","知识Agent","知识问答","第二批"
"1245","OBS鉴权策略","知识Agent","知识问答","第二批"
"1246","接口调用权限如何检查？","知识Agent","知识问答","第二批"
"1247","sts","知识Agent","知识问答","第二批"
"1248","升级为企业认证指的是什么","知识Agent","知识问答","第二批"
"1249","为什么买的时候38一年 续费要600多","活动优惠券","","第二批"
"1250","codearts 套餐介绍","知识Agent","知识问答","第二批"
"1251","codearts 对仓库容量有限制吗？","知识Agent","知识问答","第二批"
"1252","仓库容量扩展费用是多少？","账单与成本管理","账单查询","第二批"
"1253","定价页面发给我","页面导航","快捷导航","第二批"
"1254","短信签名怎么申请？","知识Agent","知识问答","第二批"
"1255","申请短信签名需要多久？","知识Agent","知识问答","第二批"
"1256","短信签名申请流程是什么？","知识Agent","知识问答","第二批"
"1257","AIGallery的镜像怎么在notebook里用啊","知识Agent","知识问答","第二批"
"1258","其他账号的MFA账号登不上了","知识Agent","知识问答","第二批"
"1259","华为云大屏为什么启动了，但是端口访问不到","知识Agent","知识问答","第二批"
"1260","远程登录后 中文乱码","知识Agent","知识问答","第二批"
"1261","能否对已冻结的资源延期","订单管理","续费","第二批"
"1262","服务器做变更操作，不会影响磁盘数据吧","ECS云服务使用","知识问答","第二批"
"1263","标签值 n31;n32 指什么","知识Agent","知识问答","第二批"
"1264","单机版本是不是无法添加？","知识Agent","知识问答","第二批"
"1265","vpc流日志支持采集nat lb吗","知识Agent","知识问答","第二批"
"1266","codearts pipeline能否调用函数工作流？","知识Agent","知识问答","第二批"
"1267","流水线执行的时候 提示。该步骤执行失败,错误信息:DEV.CB.0210044, 推送Docker镜像失败 华为云流水线构建的时候提示推送docker镜像失败 。应该怎么排查？","知识Agent","知识问答","第二批"
"1268","怎么注销账号","知识Agent","知识问答","第二批"
"1269","解绑工作伙伴怎么弄","知识Agent","知识问答","第二批"
"1270","我的合作伙伴在哪里","知识Agent","知识问答","第二批"
"1271","伙伴一直不解除关联关系怎么办","知识Agent","知识问答","第二批"
"1272","服务器证书和SIN证书哪个优先级更高。","ECS云服务使用","","第二批"
"1273","服务器证书和SNI证书哪个优先级更高","ECS云服务使用","","第二批"
"1274","服务器证书的域名是dilinkappserver-cn.fangchengbaocloud.com，SNI证书的域名是*.fangchengbaocloud.com,fangchengbaocloud.com，这种情况下服务器证书和SNI证书哪个优先级更高","ECS云服务使用","","第二批"
"1275","你再认真思考下，服务器证书的域名是dilinkappserver-cn.fangchengbaocloud.com，完全匹配；而SNI证书的域名是*.fangchengbaocloud.com，通配符匹配。之前你说SNI证书的优先级高于服务器证书，而这种情况下是否服务器证书的优先级高于SNI证书","ECS云服务使用","","第二批"
"1276","apig报错","知识Agent","知识问答","第二批"
"1277","如何统计用户播放m3u8播放时长","知识Agent","知识问答","第二批"
"1278","有哪些第三方分析工具推荐？","知识Agent","知识问答","第二批"
"1279","如果不用自己的播放器能实现吗","知识Agent","知识问答","第二批"
"1280","统计次数不准确，可其他精确的统计ts播放时长的办法吗","知识Agent","知识问答","第二批"
"1281","D服务提供的日志文件是什么格式的","知识Agent","知识问答","第二批"
"1282","内容格式举例","知识Agent","知识问答","第二批"
"1283","在哪里查看","知识Agent","知识问答","第二批"
"1284","云空间即将终止服务什么意思","知识Agent","知识问答","第二批"
"1285","KooDrive控制台 怎么找","页面导航","快捷导航","第二批"
"1286","服务的路由里如何做ip访问限制","知识Agent","知识问答","第二批"
"1287","请联系华为云官方客服，了解请联系华为云官方客服，了解CloudScope的具体域名CloudScope的具体域名","转人工","转人工","第二批"
"1288","https://portal.huaweicloud.com/rest/apigw/cdi/rest/cdi/pangudoercoreservice/v1/conversations/4c981f2e05674ca695b9863025ffd8ea/card-result","知识Agent","知识问答","第二批"
"1289","合作伙伴账单对账","账单与成本管理","账单rag","第二批"
"1290","合作伙伴账单","账单与成本管理","账单查询","第二批"
"1291","如何查合作伙伴账单","账单与成本管理","账单查询","第二批"
"1292","导出合作伙伴账单","账单与成本管理","账单导出","第二批"
"1293","合作伙伴查询伙伴账单","账单与成本管理","账单查询","第二批"
"1294","好的。现在帮我查下我的账号里面有哪些服务，可能扣费的，帮我查查","账单与成本管理","扣费溯源","第二批"
"1295","数据目录中的技术资产重复","知识Agent","知识问答","第二批"
"1296","技术资产包括哪些东西","知识Agent","知识问答","第二批"
"1297","数据连接如何管理？","知识Agent","知识问答","第二批"
"1298","数据目录中的技术资产是什么意思","知识Agent","知识问答","第二批"
"1299","数据目录中的业务资产是什么意思","知识Agent","知识问答","第二批"
"1300","怎么删除数据目录中的技术资产","知识Agent","知识问答","第二批"
"1301","OBS桶acl公共权限如何获取","知识Agent","知识问答","第二批"
"1302","接口如何获取OBS桶acl公共权限","知识Agent","知识问答","第二批"
"1303","镜像删除后是够可以恢复","知识Agent","知识问答","第二批"
"1304","镜像删除后是否可以恢复","知识Agent","知识问答","第二批"
"1305","镜像跨区域迁移","知识Agent","知识问答","第二批"
"1306","查询不到镜像ID","资源管理","知识问答","第二批"
"1307","查询镜像ID","资源管理","资源查询","第二批"
"1308","查询共享镜像ID","资源管理","资源查询","第二批"
"1309","企业项目是否支持查询镜像ID","资源管理","知识生成","第二批"
"1310","雅加达到新加坡的跨region复制","知识Agent","知识问答","第二批"
"1311","跨区域复制镜像支持的区域","知识Agent","知识问答","第二批"
"1312","使用系统盘创建镜像耗时","知识Agent","知识问答","第二批"
"1313","云服务器的公网带宽按量计费，费用中心可以单独查看这台云服务器消耗的公网带宽费用吗","账单与成本管理","账单查询","第二批"
"1314","包周期和包年/包月的关系","知识Agent","知识问答","第二批"
"1315","华为云会议api添加的用户，会议加入之后可以在未入会中展示吗？","知识Agent","知识问答","第二批"
"1316","华为云会议点了录制，但是在管理页面，没有录制的文件","知识Agent","知识问答","第二批"
"1317","华为云会议的邀请可以通过api接收到吗？","知识Agent","知识问答","第二批"
"1318","www.minsuwuliu.com这个解析的ip是哪里","知识Agent","知识问答","第二批"
"1319","MRS服务费用计算","账单与成本管理","账单查询","第二批"
"1320","MRS如何批量搜索yanr上的日志","知识Agent","知识问答","第二批"
"1321","MRS如何批量搜索Yarn上的日志","知识Agent","知识问答","第二批"
"1322","充值记录","知识Agent","知识问答","第二批"
"1323","EIP可以购买多少个","知识Agent","知识问答","第二批"
"1324","查看EIP配额在哪里？","配额管理","知识","第二批"
"1325","如何迁移ECS到其他华为云账号","ECS云服务使用","","第二批"
"1326","cloudshell 安全组","知识Agent","知识问答","第二批"
"1327","安全组如何添加 cloudshell","知识Agent","知识问答","第二批"
"1328","ims导入私有镜像 可以创建 raw.tar.gz 的格式吗","知识Agent","知识问答","第二批"
"1329","ims 导入私有镜像，镜像格式在 obs 中格式为 raw.tar.gz  可以直接导入吗","知识Agent","知识问答","第二批"
"1330","我现在有什么应用在扣费","账单与成本管理","扣费溯源","第二批"
"1331","EPS配额不足，需要扩容","配额管理","配额","第二批"
"1332","EPS配额不足，如何需要扩容","配额管理","配额","第二批"
"1333","EPS配额不足，如何扩容","配额管理","配额","第二批"
"1334","华为云有越南节点吗","知识Agent","知识问答","第二批"
"1335","负载均衡器 独享型规格支持最大QPS是多少","知识Agent","知识问答","第二批"
