"id","query","agent","topic"
"1087","筛选:
按成本分组筛选, Name: 项目场景A

原始成本净值, 按小时汇总查询成本","账单成本","个性化成本分析"
"1088","查询上个月成本标签为ENV:beta以及Project:HW的原始成本","账单成本","个性化成本分析"
"1089","近3月按需资源和包周期资源的top10成本","账单成本","个性化成本分析"
"1090","如何再控制台通过标签查看各业务成本","账单成本","个性化成本分析"
"1091","成本中心这块，为啥看不到22年的数据，后台能拿到吗","账单成本","个性化成本分析"
"1092","当前账号有哪些产品是属于消费-使用的，麻烦帮我列一下过去30天的摊销成本明细","账单成本","个性化成本分析"
"1093","根据关联账号汇总查看我的每日原始成本","账单成本","个性化成本分析"
"1094","我想在成本分析做多层的层级展示，要根据产品类型、企业项目这两个维度一同分析今年每个月的摊销成本明细","账单成本","个性化成本分析"
"1095","我想在成本分析做多层的层级展示，在成本标签为ENV下再展示一层成本分组为威风的原始成本数据","账单成本","个性化成本分析"
"1096","名下关联账号:autotestuser03_sub02，想在成本分析做多层的层级展示，在成本标签为ENV下再展示一层成本分组为威风的原始成本数据","账单成本","个性化成本分析"
"1097","⭐一汽解放公有云-HW云专属群 大佬们，帮忙看一下，成本中心 --》汇总维度--》能不能多选？比如按企业项目+产品类型，客户需要统计 xx企业项目，1年内哪些云服务花了多少钱","账单成本","个性化成本分析"
"1098","多选几个汇总维度的话，成本分析能统计一年内企业项目汇总维度下每个关联账号的实际成本情况吗？","账单成本","个性化成本分析"
"1099","根据企业项目+产品类型这两个维度汇总一下近一年的成本","账单成本","个性化成本分析"
"1100","根据企业项目+产品类型这两个维度汇总一下月度成本","账单成本","个性化成本分析"
"1101","成本中心，如何按子账号过滤查询近半年的成本情况","账单成本","个性化成本分析"
"1102","可以按照企业项目汇总查询包年包月的成本分摊数据吗，需要按月呈现","账单成本","个性化成本分析"
"1103","【华人运通】成本中心，每日，按需怎么看？","账单成本","个性化成本分析"
"1104","成本中心的日均按需成本怎么看","账单成本","个性化成本分析"
"1105","筛选:
按账单类型筛选，过滤产品类型：ELB

均摊成本净值, 按小时汇总查询成本","账单成本","个性化成本分析"
"1106","筛选:
按账单类型筛选

均摊成本净值, 按月粒度汇总查询成本","账单成本","个性化成本分析"
"1107","根据资源ID汇总每日成本","账单成本","个性化成本分析"
"1108","根据运营实体汇总包年包月成本摊销明细数据","账单成本","个性化成本分析"
"1109","根据可用区汇总按需成本摊销明细数据","账单成本","个性化成本分析"
"1110","过滤查询计费模式为按需和包年包月的成本数据","账单成本","个性化成本分析"
"1111","仅排除按需成本后，查询当前月到现在的原始成本数据","账单成本","个性化成本分析"
"1112","天粒度呈现查询包年包月的摊销成本实付金额","账单成本","个性化成本分析"
"1113","成本中心里面无法看到2022年的数据，帮忙看看什么问题，谢谢！","账单成本","个性化成本分析"
"1114","当年至今一共有多少按需成本","账单成本","个性化成本分析"
"1115","根据使用量汇总查询EIP云服务的按需月度成本","账单成本","个性化成本分析"
"1116","麻烦提供下根据使用量汇总的区域为华北-乌兰察布二零三成本的近7天的原始成本","账单成本","个性化成本分析"
"1117","麻烦提供一下过去18个月的EVS的原始成本应付","账单成本","个性化成本分析"
"1118","客户想看三月份按天的成本中心数据，目前最早只能看到四月份，我们后台有办法查吗","账单成本","个性化成本分析"
"1119","包了一年的包年包月产品按月分摊到每个月以后产生的实际摊销成本大概是多少","账单成本","个性化成本分析"
"1120","统计一下当前月到现在有多少按需成本","账单成本","个性化成本分析"
"1121","过去12个月的总成本主要分布在哪些计费模式上","账单成本","个性化成本分析"
"1122","根据计费模式汇总近7天摊销成本","账单成本","个性化成本分析"
"1123","查看22年成本分析情况","账单成本","个性化成本分析"
"1124","产品类型仅包括EVS和EVS的月度成本有多少","账单成本","个性化成本分析"
"1125","麻烦提供下区域为华北-乌兰察布二零三成本的近7天的原始成本","账单成本","个性化成本分析"
"1126","麻烦提供下全局的近7天的原始成本","账单成本","个性化成本分析"
"1127","过去半年在可用区范围内的成本有多少","账单成本","个性化成本分析"
"1128","根据企业项目汇总,有多少成本是归属于VPC的资源抵扣成本","账单成本","个性化成本分析"
"1129","按资源维度导出1-2月全部的ELB资源成本情况","账单成本","个性化成本分析"
"1130","客户指定了资源ID汇总维度统计这一年的总成本","账单成本","个性化成本分析"
"1131","筛选:
按标签筛选, Name:CSBAccount
均摊成本净值, 按天汇总查询成本","账单成本","个性化成本分析"
"1132","SDG_beta这个，但是按照资源名称查到的成本数据是多少","账单成本","个性化成本分析"
"1133","25年至今，autotestuser03租户通过成本分析页面查询到关联账号是autotestuser03_sub01的成本数据是多少呢？","账单成本","个性化成本分析"
"1134","在成本中心通过规格汇总去呈现的5月份原始成本有多少呢？","账单成本","个性化成本分析"
"1135","各个企业项目的资源包抵扣成本摊销明细金额","账单成本","个性化成本分析"
"1136","根据企业项目汇总,有多少成本是VPC的资源抵扣成本","账单成本","个性化成本分析"
"1137","在成本分析这里选了计费模式+成本标签为“Project”2个汇总维度，请汇总一下过去30天的成本数据","账单成本","个性化成本分析"
"1138","我想直观的看出每个关联账号下面分布在每个企业项目的成本数据","账单成本","个性化成本分析"
"1139","我想直观的看出每个关联账号下面分布在成本分组为测试勿删的原始成本数据","账单成本","个性化成本分析"
"1140","我想直观的看出每个关联账号下面分布在成本分组为威风的近三个月的摊销净值成本数据","账单成本","个性化成本分析"
"1141","云服务每个用量产生多少成本","账单成本","个性化成本分析"
"1142","昨天按需计费的成本突然飙升， 请帮我看下什么情况。 好像是带宽流浪异常~","账单成本",""
"1143","成本分析筛选：计费模式为按需
请问这个月的按需成本翻倍了，从产品的汇总维度帮忙查下是哪一块费用多了","账单成本",""
"1144","成本分析筛选：计费模式为包年包月
请问这个月的包周期成本减少了，从规格类型的汇总维度帮忙查下是哪一块费用出问题了","账单成本",""
"1145","成本分析筛选：关联账号：autotestuser03
请问这个月的包周期成本减少了，从规格类型的汇总维度帮忙查下是哪一块费用出问题了","账单成本",""
"1146","你好，请问 我们最近几个月的费用为什么高了这么多呢，我们并没有采购过新的ECS服务器","账单成本",""
"1147","你好，请问我们最近的成本数据一致呈现上涨的趋势，从产品类型分布的情况来看，这个差额有多大啊","账单成本",""
"1148","你好，昨天和前天相比，昨天的摊销成本陡增，从关联账号的维度去分析，是哪个账号的成本差额最大","账单成本",""
"1149","你好，25年三月和25年四月的摊销成本差额较大，麻烦提供一份成本差额对比明细给我","账单成本",""
"1150","你好，请成本分析这边根据企业项目的汇总维度去分析我24年12月和25年1月的成本对比差异和增长率","账单成本",""
"1151","在未新增资源的情况下，相比之前月成本上涨了7千元左右","账单成本",""
"1152","本月较之于上月，总成本数额有明显增长的趋势，请成本这边仔细分析下原因","账单成本",""
"1153","2月相比1月，原始成本净值金额减少了3000元，烦请从可用区的维度做个成本分析对比","账单成本",""
"1154","本人发现今年1月份摊销成本只有200元，，明显下降了，这是为什么","账单成本",""
"1155","对比上个月，查一下哪些资源有变换","账单成本-否",""
"1156","对比这个月，查一下资源ID为250331_ee921d7b8cf2470c9bbf8b06dfe8d86d的摊销成本数据变化","账单成本",""
"1157","和5月做对比，查一下资源名称为bandwidth-ed68的摊销成本数据变化","账单成本",""
"1158","【2024.3.8】【国开】客户咨询是否有办法查看每个月新增资源的成本情况","账单成本",""
"1159","成本分析筛选：账单类型：消费-新购
给一版3月和4月的成本对比分析数据给我","账单成本",""
"1160","在成本分析页面，过滤器选择“账单类型“为消费-使用的成本以后，发现2月和1月成本差额过大，请给一版成本对比分析","账单成本",""
"1161","归属于成本标签为ENV，24年12月和24年11月的总成本对比有吗？","账单成本",""
"1162","归属于成本标签为ENV，给我一份24年3月1日和24年3月2日的总成本对比，我想知道具体的差额和增长率","账单成本",""
"1163","归属于成本标签为Project的ECS弹性云服务器成本，2月/3月的成本差距过大的原因","账单成本",""
"1164","汇总维度选择成本分组:""威风""，总览显示5月19号的成本激增，我想知道具体的差额对比有多少","账单成本",""
"1165","汇总维度选择成本分组 / 测试勿删，总览显示5月19号大部分成本都分布在测试勿删的未分配下，我想知道每个月都差了多少钱","账单成本",""
"1166","汇总维度选择成本分组 / 测试勿删，5月的成本是减少的，请成本中心对比分析一下","账单成本",""
"1167","【20240317】【锅圈】【成本中心】成本分析里3月15号的成本摊销净值为什么增加了，增加了什么？","账单成本",""
"1168","成本分析里3月1号的成本摊销净值为什么减少了，减少了什么？","账单成本",""
"1169","成本分析里3月1号的成本原始净值为什么没变化？","账单成本",""
"1170","成本分析里未归集的企业项目中，3月、4月、5月的成本趋势很不稳定，请分析下成本的差额","账单成本",""
"1171","成本分析里未归集的企业项目中，3月、4月的成本趋势很不稳定，请分析下成本的差额","账单成本",""
"1172","成本分析里企业项目为测试A，3月到4月的成本趋势很不稳定，差了多少钱","账单成本",""
"1173","【20240403】【锅圈】【费用】怎么支持计划的这个摊销成本金额，怎么变了，不是应该和之前一致吗？","账单成本",""
"1174","计费模式为节省计划的摊销成本金额怎么变了，给一版每个月的成本对比分析数据给我","账单成本",""
"1175","【20240506】【费用与成本】【量子】帮忙查询下磁盘3月/4月费用差距的原因。","账单成本",""
"1176","帮忙分析下产品类型为EVS的3月/4月摊销成本差距原因","账单成本",""
"1177","帮忙分析下区域为全局下的成本的3月/4月摊销成本差距原因","账单成本",""
"1178","帮忙分析下产品为云主机的1月/2月摊销成本差距原因","账单成本",""
"1179","帮忙分析下可用区是未归集的1月/2月摊销成本差距原因","账单成本",""
"1180","万邑通四月份比三月份费用减少2.4W，需要确认原因。","账单成本",""
"1181","关联账号是autotestuser03_sub02的四月份成本比三月份成本减少2.4W，提供下具体的比对情况","账单成本",""
"1182","成本标签AutoTest:AutoTestCbcCost四月份成本明显下降，提供下具体的比对情况","账单成本",""
"1183","成本分组测试勿删:first去年12月的成本跟今年1月的成本差异过大，提供下具体的比对情况","账单成本",""
"1184","今年企业项目是default的成本连续增长，提供下近两个月的对比成本数据","账单成本",""
"1185","【NFTGO】客户7.18和7.19两日消费差距很大，但是看资源变化不大，能否查看是什么资源的消费减少了","账单成本",""
"1186","请提供下这两天的OBS成本对比数据明细给我","账单成本",""
"1187","系统提示我这几天账单类型为消费-新购的成本摊销数据有明显增长，在成本中心这块怎么分析对比和差异","账单成本",""
"1188","提供一份EVS产品为云硬盘的25年本月和上月成本对比明细数据","账单成本",""
"1189","从产品类型的维度去汇总，上个月成本变化最大的TOP10成本是哪些","账单成本",""
"1190","我们的消费突然增高，但是不清楚哪里出了问题，需要客服帮忙看看是哪一块费用多了","账单成本",""
"1191","摊销成本资源包未抵扣的成本怎么越来越多了，成本中心这边分析一下4月和5月的对比情况","账单成本",""
"1192","摊销成本资源包已抵扣的成本怎么越来越少了，成本中心这边分析一下4月和5月的对比情况","账单成本",""
"1193","摊销成本节省计划未抵扣的成本怎么越来越多了，成本中心这边分析一下4月和5月的对比情况","账单成本",""
"1194","摊销成本节省计划已抵扣的成本怎么越来越少了，成本中心这边分析一下4月和5月的对比情况","账单成本",""
"1195","【⭐️能链集团-HW云专属群】 【问题】能拉一个成本的人帮我们分析下账单的问题吧，我们这个按月账单波动有些大，不知道是哪里的问题啊","账单成本",""
"1196","成本中心是否可以呈现2025年04至2025年05的成本对比数据","账单成本",""
"1197","今年VPC云服务产品的成本数据飙升，查下2025年02和2025年05的成本对比数据","账单成本",""
"1198","今年WAS云服务产品的成本费用有下降的趋势，提供一下2025年和2024年的成本对比数据","账单成本",""
"1199","今年5月份，VPC云服务分拆后的成本为0元，根据分拆项汇总今年5月的成本对比数据","账单成本",""
"1200","请提供一份DSC云服务在成本中心的今天和前天的成本对比数据","账单成本",""
"1201","请提供一份SMN云服务在成本中心的前天和大前天的成本对比数据","账单成本",""
"1202","请提供一份SFS云服务在成本中心的今日和昨日的成本对比数据","账单成本",""
"1203","请提供一份DEW云服务在成本中心的2024年5月20号和2025年5月20号的成本对比数据","账单成本",""
"1204","成本中心是否可以呈现这个月前15天和上个月前15天的成本对比数据","账单成本",""
"1205","去年6月和7月的成本差异很大，能否根据产品类型汇总分析一下成本差异变化的原因","账单成本",""
"1206","【⭐️HW-ABB-AbilityDigital 】请问一下，我们6月份对influxdb做的扩容，从成本分析里看，好像体现在7月份的成本多一些了，这个正常吗","账单成本",""
"1207","从成本分析里看，去年7月的成本多了一些","账单成本",""
"1208","【⭐️重庆聚米-HW云专属群】有没有成本对比功能，我想查昨天多出来的3000是什么费用","账单成本",""
"1209","昨天的摊销成本多了3000块，成本中心分析一下是什么产品类型导致的成本差异","账单成本",""
"1210","昨天的ECS摊销成本多了3000块，成本中心分析一下是ECS哪一台产品的成本变化最大","账单成本",""
"1211","成本中心，当月成本趋势里有个费用比较高，如何查看是哪个服务续费产生，待续费里没有看到。","账单成本",""
"1212","成本中心，可以从账单类型：消费-自动续订这一个过滤条件分析下是哪个云服务导致的当月成本的差异吗","账单成本",""
"1213","为什么这个月的成本突然增高","账单成本",""
"1214","分析一下本月成本增高的原因","账单成本",""
"1215","根据分拆项去汇总分析虚拟私有云 VPC的4月29日至30日的摊销成本对比变化","账单成本",""
"1216","CDN根据域名为resource.cdnsun02.com分拆后，帮忙分析下4月29日至30日的摊销成本对比变化","账单成本",""
"1217","请提供一下4月28日至4月29日VPC云服务根据固定带宽分拆的成本分摊对比数据","账单成本",""
"1218","按照域名:resource.cdnsun03.com分拆的CDN云服务，4月27日和4月28日的摊销成本对比","账单成本",""
"1219","在过滤器的“分拆项”中选择分拆项为未归集的CDN当月和上月的摊销成本对比","账单成本",""
"1220","当年至今，全站加速 WSA的请求数据经过成本分拆后，请给一版具体的4月30日和5月1日的成本分拆对比明细数据","账单成本",""
"1221","视频直播 Live的域名分拆结果在成本中心那边按照企业项目:default过滤的话，请给一版具体的当月和上月的成本分拆对比明细数据","账单成本",""
"1222","请提供一份VPC根据分拆项: 10.83.50.24的4月30日和5月1日的成本对比明细数据","账单成本",""
"1223","成本洞察这里，下降的成本能看到具体是哪些吗","账单成本",""
"1224","请着重分析一下本月成本下降的原因","账单成本",""
"1225","客户反馈查看消费分析，发现8-31日消费明显高于其他时间请看下什么原因？","账单成本",""
"1226","客户反馈查看成分析，发现3-31日的摊销成本明显高于其他时间，是什么原因","账单成本",""
"1227","成本中心查看MRS的摊销成本9月1日为什么比8月31日多了？","账单成本",""
"1228","成本中心查看MRS的原始成本9月1日为什么比8月31日多了？","账单成本",""
"1229","帮忙看一下，LTS和账单，跟客户对账，发现个问题，按天和明细的金额对不上 客户的诉求就是， 1、说清楚，两个账单，到底那个是对的，为什么账单金额不一致，原因是什么？ 2、8月28-30日的消费突增明细，为什么客户消费上涨20%-30%哪里增长的","账单成本",""
"1230","8月28-30日的摊销突增明细，为什么客户摊销成本上涨20%-30%，是哪里增长的","账单成本",""
"1231","8月28-29日的摊销突增明细，为什么客户摊销成本20%-30%，是哪里增长的","账单成本",""
"1232","客户账号：hid_6i4t1xk9evuqh0l， 成本中心-成本分析9月份1-29号费用是0，9月30日费用是突增一笔，成本中心成本分析逻辑是什么？工号：84250750","账单成本",""
"1233","交易账号名称归属于hid_6i4t1xk9evuqh0l名下的成本分析数据不正常，9月30日成本是突增一笔，请分析一下什么原因","账单成本",""
"1234","去掉关联账号为autotestuser03_sub02的摊销数据，根据关联账号汇总分析一下本月较于上月的摊销变化","账单成本",""
"1235","资源名称/ID为ebbc6bef-ff6d-4406-9415-4c7d1023fa50:dcs-gcc8的资源实例，请分析一下本月和上月的成本对比变化","账单成本",""
"1236","账号内有异常消费，麻烦查看是否开通了什么按需服务。","账单成本",""
"1237","请根据按需的摊销成本给出一版本月和上月的成本对比分析明细","账单成本",""
"1238","RDS数据库成本增加原因，规格和存储量未明显增加，为什么成本却明显增加？","账单成本",""
"1239","根据规格去汇总分析RDS数据库的摊销成本对比变化","账单成本",""
"1240","根据使用量去汇总分析RDS数据库的摊销成本对比变化","账单成本",""
"1241","我梳理出了每个月某个产品的消耗成本，举个例子: 我想知道ecs高出的是哪部分ecs消耗","账单成本",""
"1242","根据产品去汇总分析ECS弹性云服务器的摊销成本对比变化","账单成本",""
"1243","摊销成本费用少","账单成本",""
"1244","成本分摊金额核对","账单成本",""
"1245","上月成本分摊金额和本月的变化","账单成本",""
"1246","我在成本中心看到2.21的费用同步1.21的费用多了2万块，请问我可以怎么查询到这多出来的2万的明细吗","账单成本",""
"1247","我在成本中心看到1月21日的摊销同步1月20日的摊销多了2万块，可以从区域的汇总维度分析下成本变化吗？","账单成本",""
"1248","可以从规格的汇总维度分析下24年12月和25年1月的摊销成本变化吗？","账单成本",""
"1249","可以从运营实体的汇总维度分析下摊销成本变化吗？","账单成本",""
"1250","可以从资源名称的汇总维度分析下摊销实付金额的成本变化吗？","账单成本",""
"1251","可以从可用区的汇总维度分析下原始成本实付金额成本变化吗？","账单成本",""
"1252","可以从计费模式的汇总维度分析下摊销净值成本变化吗？","账单成本",""
"1253","可以从账单类型的汇总维度分析下原始净值的成本变化吗？","账单成本",""
"1254","可以从成本标签为ENV的汇总维度分析下退订的成本变化吗？","账单成本",""
"1255","可以从成本分组为测试勿删的汇总维度分析下OBS的成本变化吗？","账单成本",""
"1256","按企业项目为维度的成本分析，1月和2月的金额差距是否可以细化到知道是具体哪个实例导致的差距呢？","账单成本",""
"1257","根据资源ID去汇总分析企业项目为default、未归集、项目部A、测试部B这几个因子去分析本月成本变化","账单成本",""
"1258","edath-hid1762 这个客户反馈4月3号成本导出总费用和4月9号费金额用不一致","账单成本",""
"1259","关联账号为autotestuser03_sub02的摊销数据，4月3号成本总费用和4月9号成本金额用不一致","账单成本",""
"1260","关联账号为autotestuser03_sub02的摊销数据，4月3号成本总费用和4月5号成本金额用不一致","账单成本",""
"1261","这个ecs异常是不是上个月同时间段没有续费的ecs，导致提示异常的","账单成本",""
"1262","根据产品类型去汇总分析ECS弹性云服务器中没有消费-自动续订的成本对比变化","账单成本",""
"1263","12 月份开始较 11 月份飙升 3 倍，但是流量传入传出没有明显变化","账单成本-否",""
"1264","从使用量类型维度评估下本月成本和上月成本的差异","账单成本",""
"1265","通过规格可以看出今天和昨天的成本变化吗","账单成本",""
"1266","从资源名称维度比较下25年1月和24年12月的摊销费用差异","账单成本",""
"1267","昨天按需计费的成本突然飙升，请帮我看下什么情况","账单成本",""
"1268","昨天节省计划的成本突然飙升，请帮我看下什么情况","账单成本",""
"1269","昨天包年包月的成本突然降低，请帮我看下什么情况","账单成本",""
"1270","归属于区域为cn-north-7的成本昨天和前天有变化吗","账单成本",""
"1271","通过区域汇总，成本昨天和前天有变化吗","账单成本",""
"1272","资源名称是bandwidth-ed68的摊销费用怎么突然变少了","账单成本",""
"1273","资源id是536f7ecf-e75e-4209-b5fa-23390d577df9的原始费用上月和上上月原始成本差异","账单成本",""
"1274","名下autotestuser03_sub01独立子账号的本月成本为0，是怎么回事，上个月还有摊销费用产生","账单成本",""
