"id","query","agent","topic","batch"
"55","域名转出路径","知识Agent","知识问答","第一批"
"56","云邮箱发信错误","知识Agent","知识问答","第一批"
"57","你好 IOT应用侧接入，协议支持MQTT吗（非MQTTS）","知识Agent","知识问答","第一批"
"58","https://support.huaweicloud.com/sdkreference-iothub/iot_10_10002.html  这个示例中使用了withDerivedPredicate,但是sdk中不存在该方法，sdk的版本是3.0.60","知识Agent","知识问答","第一批"
"59","shandong.jingletechnology.com绑定到这个服务器上怎么操作","ECS云服务使用","知识问答","第一批"
"60","域名管理页在哪","页面导航","快捷导航","第一批"
"61","astro zero运行服务编排的地方在哪","页面导航","快捷导航","第一批"
"62","Token的有效期","知识Agent","知识问答","第一批"
"63","ocr token 有效期","知识Agent","知识问答","第一批"
"64","域名解析不成功","知识Agent","知识问答","第一批"
"65","ObsClient 使用后，需要手动去调用close()方法关闭资源吗","知识Agent","知识问答","第一批"
"66","命令行工具notify backend error","知识Agent","知识问答","第一批"
"67","请问flexus服务器L实例的流量包有关于用量阈值或者用量占比阈值的预警吗","知识Agent","知识问答","第一批"
"68","LTS的日志保存时间","知识Agent","知识问答","第一批"
"69","LTS能否在一天的日志中聚合出所有的url","知识Agent","知识问答","第一批"
"70","华为云智能语音助手如何收费","知识Agent","知识问答","第一批"
"71","没有云数据库的话，app上传的数据能存到系统盘吗","知识Agent","知识问答","第一批"
"72","已经购买了 怎样看自己的公网IP","资源管理","资源查询","第一批"
"73","ROMA Connect免费试用怎么操作","活动优惠券","","第二批"
"74","域名过户","知识Agent","知识问答","第一批"
"75","代金券可以给子账号使用吗？ 假如我需要创建gpu事例，我创建完，释放后，如何通过使用代金券里的钱去支付呢","活动优惠券","","第二批"
"76","codeart页面嵌套","知识Agent","知识问答","第一批"
"77","codearts用idaas登陆无法跳转","知识Agent","知识问答","第一批"
"78","codearts能效界面如何嵌套","知识Agent","知识问答","第一批"
"79","数据库实例需要创建多久？","知识Agent","知识问答","第一批"
"80","我要开发票，企业认证，---但是告诉我：贵企业可认证的华为云账号数已超过限制，如有疑问，请联系950808转3，或提交工单进行咨询。人工客服","转人工","转人工","第一批"
"81","我要开发票，企业认证，---但是告诉我：贵企业可认证的华为云账号数已超过限制，如有疑问，请联系950808转3，或提交工单进行咨询。我已经提交了，但是在审核中，需要审核多久呢，人工客服","转人工","转人工","第一批"
"82","dws为什么选不了多az","知识Agent","知识问答","第一批"
"83","OBS 域名对应的 IP 是固定的没？或者有固定的 IP 段吗？","知识Agent","知识问答","第一批"
"84","RDS如何配置密码复杂度","知识Agent","知识问答","第一批"
"85","RDS配置登录超时时间及登录失败锁定策略","知识Agent","知识问答","第一批"
"86","rds如何设置双因子","知识Agent","知识问答","第一批"
"87","rds如何设置双因子认证","知识Agent","知识问答","第一批"
"88","redis设置密码复杂度","知识Agent","知识问答","第一批"
"89","分布式缓存服务redis如何配置定期更换密码","知识Agent","知识问答","第一批"
"90","分布式缓存服务redis如何配置密码复杂度","知识Agent","知识问答","第一批"
"91","主机安全基础版不能进行漏洞验证和加白名单吗","知识Agent","知识问答","第一批"
"92","WeLink云空间-如何进入？","页面导航","知识问答","第一批"
"93","怎么把本地自建的mysql迁移至rds","知识Agent","知识问答","第一批"
"94","放通安全组","知识Agent","知识问答","第一批"
"95","到期转按需","知识Agent","知识问答","第一批"
"96","转按需","知识Agent","知识问答","第一批"
"97","Flexus应用服务器L实例连接不上","知识Agent","知识问答","第一批"
"98","云审计服务 CTS怎么收费","知识Agent","知识问答","第一批"
"99","云审计服务CTS是完全免费吗","知识Agent","知识问答","第一批"
"100","变更堡垒机实例规格会造成堡垒机不可用吗？","知识Agent","知识问答","第一批"
"101","云桌面修改系统","知识Agent","知识问答","第一批"
"102","我想主要是做网站空间的。需要哪一款服务器比较好呢。","ECS云服务使用","辅助购买","第一批"
"103","CodeArts套餐是什么","知识Agent","知识问答","第一批"
"104","codearts产品能效看板页面嵌入","知识Agent","知识问答","第一批"
"105","对于按需资源，多个框架折扣是如何匹配的","活动优惠券","","第二批"
"106","ROMA Connect 怎么免费试用","活动优惠券","","第二批"
"107","可以试用吗","活动优惠券","","第二批"
"108","数字人可以试用吗","活动优惠券","","第一批"
"109","退款了，能开负数发票吗","发票管理","发票rag","第二批"
"110","kafka如何即时转按需","知识Agent","知识问答","第一批"
"111","怎么释放掉冻结资源","资源管理","知识问答","第一批"
"112","怎么释放冻结的资源","知识Agent","知识问答","第一批"
"113","我希望有续费价格的折扣","活动优惠券","","第一批"
"114","我是电商用户，需要不一样的IP地址","知识Agent","知识问答","第一批"
"115","发起工单","工单管理","提工单","第一批"
"116","我上月缴纳的90元域名续费为什么开不了发票","发票管理","开票","第一批"
"117","帮我查查现在还有哪些资源在扣费","账单与成本管理","扣费溯源","第一批"
"118","开票","发票管理","开票","第一批"
"119","CodeLab入口","页面导航","快捷导航","第二批"
"120","免费使用","活动优惠券","","第一批"
"121","备案-一台服务器是否可以多次办理备案","ECS云服务使用","","第二批"
"122","您好，我的网站要到期了，我要续五年，可以给点优惠吗","活动优惠券","","第一批"
"123","真人客服手机号","转人工","知识","第一批"
"124","我有两个产品，马上到期需要续费，能否开对公发票","发票管理","开票","第一批"
"125","充值过程中提示“如您有未还清账单，充值后优先抵扣未还清账单。”是什么情况？ 查看以往账单也没欠费的呀","账单与成本管理","欠费溯源","第一批"
"126","分身数字人智能交互 如何收费","知识Agent","知识问答","第一批"
"127","续费什么价格","订单管理","续费rag","第一批"
"128","麻烦解答下： 1、如果cce日志使用容器路径，容器删除后，LTS上的日志还会保留么？ 2、如果cce日志使用宿主机路径，宿主机上的日志路径需要是唯一的吗，不是唯一的会不会出现日志复现问题？","CCE云服务使用","知识","第一批"
"129","cce各版本之间的差异","CCE云服务使用","知识","第一批"
"130","测试设计计费标准","账单与成本管理,知识Agent","知识问答","第一批"
"131","怎么购买ecs预留实例","ECS云服务使用","辅助购买","第一批"
"132","我购买了dev考试花了1100 麻烦帮我开一下发票","发票管理","开票","第一批"
"133","koophone费用账单","账单与成本管理","账单查询","第一批"
"134","登录管理控制台","页面导航","知识问答","第一批"
"135","登录个人桌面","页面导航","知识问答","第一批"
"136","帮我查一下机器","资源管理","资源查询","第一批"
"137","WeLink-PC端邮箱入口在哪？","知识Agent","知识问答","第二批"
"138","异常成本监控的原因","账单与成本管理,知识Agent","成本","第一批"
"139","免费的大模型token在哪里","活动优惠券","","第一批"
"140","导出全部BMS","资源管理","知识问答","第一批"
"141","导出全部EIP","资源管理","知识问答","第一批"
"142","云客服服务的价格","知识Agent","知识问答","第一批"
"143","华为云客服这个产品的价格","知识Agent","知识问答","第一批"
"144","云客服服务使用费的具体价格情况呢","知识Agent","知识问答","第一批"
"145","为什么无法立即注销华为云业务？","知识Agent","知识问答","第一批"
"146","密码设置","知识Agent","知识问答","第一批"
"147","手机远程锁定密码怎么更改","知识Agent","知识问答","第一批"
"148","可以试用云服务器吗","活动优惠券","","第一批"
"149","x1.8u.16g这个云服务器可以试用吗","活动优惠券","","第一批"
"150","我要访问gmail，需要购买什么样的vpn","知识Agent","知识问答","第一批"
"151","哪些服务器可以用pytorch","ECS云服务使用","辅助购买","第一批"
"152","测试账号下没有北京2局点，怎么申请开通","知识Agent","知识问答","第一批"
"153","ecs怎么弹性扩缩容，扩缩规格，不是伸缩实例数量","ECS云服务使用","知识问答","第一批"
"154","cce集群版本升级，费用会增加吗","CCE云服务使用,账单与成本管理","知识","第一批"
"155","OBS-对其他账号授予指定对象的指定操作权限","知识Agent","知识问答","第一批"
"156","个人账号下怎么开企业抬头发票","发票管理","开票","第一批"
"157","申请发票类-个人客户是否可以开企业发票？","发票管理","发票rag","第一批"
"158","如何在华为云上购买ECS服务器，安装银河麒麟V10操作系统，安装达梦数据库","ECS云服务使用","辅助购买","第一批"
"159","购买弹性云服务器，是租用物理机吗？","ECS云服务使用","知识问答","第一批"
"160","登陆弹性云服务器是登陆到物理机吗","ECS云服务使用","知识问答","第一批"
"161","弹性云服务器是虚拟机还是物理机?","ECS云服务使用","知识问答","第一批"
"162","可以在弹性云服务器创建虚拟机吗？","ECS云服务使用","知识问答","第一批"
"163","包月中途退款","订单管理","退订","第一批"
"164","包月产品中途退订，会返还金额吗","订单管理","退订rag","第一批"
"165","账单-如何查询欠费的资源？","账单与成本管理","欠费溯源","第一批"
"166","价格计算器 商务折扣","知识Agent","知识问答","第一批"
"167","我没有在费用中心找到商务折扣的功能","知识Agent","知识问答","第二批"
"168","DAVP类型云服务器选择哪种规格？","ECS云服务使用","辅助购买","第一批"
"169","弹出的优惠券领取失败","活动优惠券","","第一批"
"170","主机默认用户名密码","知识Agent","","第一批"
"171","企业账号变回个人","知识Agent","知识问答","第一批"
"172","怎么让弹性云服务器的上传限制改为2gb","ECS云服务使用","知识问答","第一批"
"173","华为云打款银行账号名称是什么","知识Agent","知识问答","第一批"
"174","如何更改登录手机身份验证","知识Agent","知识问答","第一批"
"175","问题求助和反馈（工单）","工单管理","提工单","第一批"
"176","基本信息管理-重置密码","知识Agent","知识问答","第一批"
"177","如何购买服务器硬件","ECS云服务使用","知识问答","第一批"
"178","问题描述： - 弹性公网IP [****mask****] 已绑定辅助网卡 [****mask****]，但流量不通 关键信息： - 辅助网卡ID: 3d5c113f-8e70-47ac-a7ba-6c1a4c6ab382 - 实例ID: ecs-1111 - 测试结果：   - 内网ping [****mask****] 成功   - 公网ping [****mask****] 失败","知识Agent","知识问答","第一批"
"179","用提货劵下单使用流程","知识Agent","知识问答","第一批"
"180","活动产品续费变更","订单管理","续费","第一批"
"181","续费价格","订单管理","续费rag","第一批"
"182","拉取镜像失败","知识Agent","知识问答","第一批"
"183","如何登录容器","CCE云服务使用","知识","第一批"
"184","云服务器中的大文件怎么快速传输到本地电脑","ECS云服务使用","知识问答","第一批"
"185","上传文件到Windows操作系统云服务器","ECS云服务使用","知识问答","第一批"
"186","云服务器中的数据库备份文件怎么下载到本地","ECS云服务使用","知识问答","第一批"
"187","云服务器大文件下载","ECS云服务使用","知识问答","第一批"
"188","虚拟vip绑定ECS后不通","ECS云服务使用","知识问答","第一批"
"189","弹性云服务器的网卡未正确配置虚拟IP","ECS云服务使用","知识问答","第一批"
"190","系统启动一直卡着","知识Agent","知识问答","第一批"
"191","图像审核怎么弄","知识Agent","知识问答","第一批"
"192","CES和AOM的区别？","知识Agent","知识问答","第一批"
"193","华为云I’d进入的会议能查到记录吗","知识Agent","知识问答","第一批"
"194","IEC接入云监控了嘛","知识Agent","知识问答","第一批"
"195","发票金额与合同金额不一致的原因是什么","发票管理","发票rag","第一批"
"196","一个用户可以同时拥有多少临时aksk","知识Agent","知识问答","第一批"
"197","为什么我四月的虚拟云扣费很多？比前几个月都多很多","账单与成本管理","账单查询","第一批"
"198","GaussDB-GaussDB认证考试在什么时候？","知识Agent","知识问答","第一批"
"199","gaussdb轻量化集中式数据库的RTO是多少","知识Agent","知识问答","第一批"
"200","gaussdb轻量化分布式数据库的RTO是多少","知识Agent","知识问答","第一批"
"201","我有一个云主机, 有180小时的免费使用权限, 那过了这个时间, 怎么计费呢","账单与成本管理,知识Agent","知识问答","第一批"
"202","如果是在云服务上开通网站, 是不是按需计费 不合算呢","知识Agent","知识问答","第一批"
"203","如果要开通网站, 除了ecs ,还有其他方式吗","知识Agent","知识问答","第一批"
"204","我说的不是这个意思, 我是说要开通网站, 是不是必须要有一个ecs","ECS云服务使用","","第一批"
"205","我不需要一个服务器, 只需要可以部署网站, 华为有这样的产品吗","知识Agent","知识问答","第一批"
"206","我要 自助建站 , 但不需要服务器","知识Agent","知识问答","第一批"
"207","我要 自助建站 , 但不需要服务器 .  我只要托管网站即可","知识Agent","知识问答","第一批"
"208","obs价格","知识Agent","知识问答","第一批"
"209","在哪里购买obs","知识Agent","知识问答","第一批"
"210","华为云游戏，发出去的邮件能撤回","知识Agent","知识问答","第一批"
"211","华为云邮箱，发出去的邮件能撤回么","知识Agent","知识问答","第一批"
"212","文本生成、图像理解、多种模态、这三种类型的模型，分别 是怎么计费的","知识Agent","知识问答","第一批"
"213","DRS api v5 授权分类","知识Agent","知识问答","第一批"
"214","DRS api v3 授权分类","知识Agent","知识问答","第一批"
"215","文档数据库服务(版本3.4)，mongo命令执行查不出结果，命令如下：db.getCollection(""modulestore.definitions"").find({ $and : [{""fields.video_url"" : { $ne : null }}, {""fields.video_url"" : /.*gtsls-lcms-sg.*/i}] }).limit(1000).skip(0)","知识Agent","知识问答","第一批"
"216","香港云服务器在哪里","ECS云服务使用","知识问答","第一批"
"217","我需要香港区域的云服务器","ECS云服务使用","辅助购买","第一批"
"218","服务牌的IP地址怎么查询","资源管理","知识问答","第一批"
"219","ECS上面怎么搭建GUI","ECS云服务使用","知识问答","第一批"
"220","账号被冻结","知识Agent","知识问答","第一批"
"221","默认情况下，RDS 允许每个用户最多可以创建多少个 RDS 实例","知识Agent","知识问答","第一批"
"222","如何下载云服务图标","知识Agent","知识问答","第一批"
"223","网站无法访问怎么办？","知识Agent","知识问答","第二批"
"224","对象存储,为什么看不到 key secret","知识Agent","知识问答","第一批"
"225","obs 上传完后,为什么根据链接无法访问","知识Agent","知识问答","第一批"
"226","ELB的类型为独享型负载均衡","知识Agent","知识问答","第一批"
"227","WordPress 建站服务","知识Agent","知识问答","第一批"
"228","gaussdb8.111收费吗？","知识Agent","知识问答","第一批"
"229","是否支持私有化部署。","知识Agent","知识问答","第一批"
"230","处罚中心在哪儿查看","知识Agent","知识问答","第一批"
"231","2.(10 分)【单选题】 默认情况下， RDS 允许每个用户最多可以创建多少个 RDS 实 例？ A、 20 B、 40 C、 50 D、 100","知识Agent","知识问答","第一批"
"232","一个RDS实例最多可以多少个只读副本","知识Agent","知识问答","第一批"
"233","查询实名认证","知识Agent","知识问答","第一批"
"234","查询名下实名认证账号","知识Agent","知识问答","第一批"
"235","同一证件号认证次数超限怎么办？","知识Agent","知识问答","第一批"
"236","找回账号","知识Agent","知识问答","第一批"
"237","holosens一站式开发平台入口","页面导航","快捷导航","第一批"
"238","按上述操作没有找到HoloSens一站式开发平台","页面导航","知识问答","第一批"
"239","已收到工信部备案成功短信，但是域名还是不能打开","知识Agent","知识问答","第一批"
"240","华为云服务器分多次续费了 目前还有113天到期，为何在我的备案中无法选择服务器","资源管理","知识问答","第一批"
"241","和开源的deepseek有什么区别","知识Agent","知识问答","第一批"
"242","nacos 配置读取不到","知识Agent","知识问答","第一批"
"243","华为云空间","知识Agent","知识问答","第一批"
"244","koodrive-如何退订云空间服务？","订单管理","退订","第一批"
"245","怎么加入班级","知识Agent","知识问答","第一批"
"246","DEW创建完秘钥后去哪查看秘钥","知识Agent","知识问答","第一批"
"247","iam用户","知识Agent","知识问答","第一批"
"248","AOM没有告警行动规则","知识Agent","知识问答","第一批"
"249","告警规则是什么","知识Agent","知识问答","第一批"
"250","怎么配置租户权限？","知识Agent","知识问答","第一批"
"251","怎么导出数据库安全服务的数据报表","知识Agent","知识问答","第一批"
"252","密钥对","知识Agent","知识问答","第一批"
"253","DEW-创建密钥库","知识Agent","知识问答","第一批"
"254","如何创建用于远程登陆的密钥","知识Agent","知识问答","第一批"
"255","安装gcc","知识Agent","知识问答","第一批"
"256","配置入项规则","知识Agent","知识问答","第一批"
"257","云数据库不支持oracle吗","知识Agent","知识问答","第一批"
"258","华为云有oracle吗","知识Agent","知识问答","第一批"
"259","大于128G的镜像怎么导出","资源管理","知识问答","第一批"
"260","ImageConvert服务是什么","知识Agent","知识问答","第一批"
"261","会务通是免费使用吗","知识Agent","知识问答","第一批"
"262","目睹是怎么收费","知识Agent","知识问答","第一批"
"263","怎么查名下认证几个账号","知识Agent","知识问答","第一批"
"264","gslb","知识Agent","知识问答","第一批"
"265","如何导出全部云产品清单","资源管理","知识问答","第一批"
"266","什么是回收站？","知识Agent","知识问答","第一批"
"267","DWS修改表属主语句","知识Agent","知识问答","第一批"
"268","按流量计费规则","知识Agent","知识问答","第一批"
"269","按需计费多久扣一次","知识Agent","知识问答","第一批"
"270","通过ip加端口访问不了服务","知识Agent","知识问答","第二批"
"271","按需购买，停机是否收费？","知识Agent","知识问答","第一批"
"272","一个订单备案多少个域名","知识Agent","知识问答","第一批"
"273","四川一个备案订单可以提交多少个域名","订单管理","知识","第一批"
"274","一个服务器可以备案多少条域名","ECS云服务使用","","第一批"
"275","我的服务器什么时候到期","订单管理","续费","第一批"
"276","如何通过接口查询规格的参考价格 以及规格是否售尽","知识Agent","知识问答","第一批"
"277","华为云备案显示管局审核，但是工信部那边发送消息显示已备案完成","知识Agent","知识问答","第一批"
"278","已经等待一天了","知识Agent","知识问答","第一批"
"279","短信服务不能用了吧？","知识Agent","知识问答","第一批"
"280","请求OCR接口,如何获取token","知识Agent","知识问答","第一批"
"281","应用服务器声音","知识Agent","知识问答","第一批"
"282","声音怎么同步到本地","知识Agent","知识问答","第一批"
"283","obs 图片上传完成之后,点击链接无法访问","知识Agent","知识问答","第一批"
"284","续费后，资源还是已过期","知识Agent","知识问答","第一批"
"285","云容器引擎可以单独部署么","CCE云服务使用","知识","第一批"
"286","域名是什么","知识Agent","知识问答","第一批"
"287","codeart svn检出问题","知识Agent","知识问答","第一批"
"288","05-06 17:43:21[ERROR][com.huaweicloud.sdk.core.HcClient.handleException:377] - ServiceResponseException occurred. Host: ocr.cn-north-4.myhuaweicloud.com Uri: https://ocr.cn-north-4.myhuaweicloud.com/v2/061517a38b000fca2f5bc017e0688853/ocr/license-plate ServiceResponseException: ClientRequestException {     httpStatusCode: 400     errorCode: AIS.0101     errorMsg: The input parameter is invalid.","知识Agent","知识问答","第一批"
"289","05-06 17:43:21[ERROR][com.huaweicloud.sdk.core.HcClient.handleException:377] - ServiceResponseException occurred. Host: ocr.cn-north-4.myhuaweicloud.com Uri: https://ocr.cn-north-4.myhuaweicloud.com/v2/061517a38b000fca2f5bc017e0688853/ocr/license-plate ServiceResponseException: ClientRequestException {     httpStatusCode: 400     errorCode: AIS.0101     errorMsg: The input parameter is invalid.     requestId: 17cee20bc8b495fff6a1e5c5f697d30b }","知识Agent","知识问答","第一批"
"290","流水线门禁","知识Agent","知识问答","第一批"
"291","群发短信，现在不支持购买了么","知识Agent","知识问答","第一批"
"292","最新的广东互联网信息服务备案承诺书（企业）在哪里","知识Agent","知识问答","第一批"
"293","最新的，带有快应用的单位版本的广东备案承诺书在哪里下载","知识Agent","知识问答","第一批"
"294","我填写问卷调查了","知识Agent","知识问答","第一批"
"295","怎么没有优惠券啊怎么没有优惠券啊","活动优惠券","","第一批"
"296","云邮箱密码不对","知识Agent","知识问答","第一批"
"297","电脑端怎么登录云邮箱","知识Agent","知识问答","第一批"
"298","IOS设备怎么远程","知识Agent","知识问答","第一批"
"299","怎么登录远程IP","知识Agent","知识问答","第二批"
"300","资源分配率和资源使用率区别","知识Agent","知识问答","第一批"
"301","备案里面的主办单位名称是什么","知识Agent","知识问答","第一批"
"302","小程序备案需要选择 网站，APP，快应用还是快游戏","知识Agent","知识问答","第一批"
"303","购买 300I duo服务器","ECS云服务使用","辅助购买","第一批"
"304","HEC07是哪个region?","知识Agent","知识问答","第一批"
"305","obs上传文件Status=413 Request Entity Too Large","知识Agent","知识问答","第一批"
"306","obs上传1兆大小文件Status=413 Request Entity Too Large","知识Agent","知识问答","第一批"
"307","服务器IP在哪里看","资源管理","资源查询","第二批"
"308","神经网络部署在云端","知识Agent","知识问答","第一批"
"309","余额怎么提现","知识Agent","知识问答","第一批"
"310","显示显示账号已成功更改为什么，之前的账号有影响吗","知识Agent","知识问答","第一批"
"311","通讯录","知识Agent","知识问答","第一批"
"312","在flink jar作业中配置的“参数”，如果在代码里获取？","知识Agent","知识问答","第一批"
"313","首行代码需要写        StreamExecutionEnvironment env = StreamExecutionEnvironment.getExecutionEnvironment(); 吗？还是说无所谓","知识Agent","知识问答","第一批"
"314","flink jar作业，在作业“参数”中配置的参数，在程序中获取不到，程序代码如下：public static void main(String[] args) throws Exception {","知识Agent","知识问答","第一批"
"315","[****mask****] 这个ip的主机被释放了吗？我找不到这个资源了","资源管理","知识问答","第一批"
"316","CCE拉取海外镜像失败","CCE云服务使用","节点异常问题诊断","第一批"
"317","CCE拉取第三方海外镜像失败","CCE云服务使用","节点异常问题诊断","第一批"
"318","华为云上的资源由于欠费原因被冻结，充值解冻后，所有cce节点都是不可用状态，怎么恢复","CCE云服务使用","节点异常问题诊断","第一批"
"319","用提货券买了个域名，域名没给啊","知识Agent","知识问答","第一批"
"320","华为云官网人员招聘链接","知识Agent","知识问答","第一批"
"321","华为云技术支持","转人工","转人工","第一批"
"322","如何找到我需要续费的产品","订单管理","续费","第一批"
"323","容器内访问OpenStack元数据API 超时","CCE云服务使用","知识","第一批"
"324","集群内访问(ClusterIP)","知识Agent","知识问答","第一批"
"325","使用ClusterIP访问","知识Agent","知识问答","第一批"
"326","我的服务部署在cce容器内,服务内调接口访问OpenStack元数据API 超时","CCE云服务使用","工作负载异常问题诊断","第一批"
"327","数字人","知识Agent","知识问答","第一批"
"328","2核4G服务器，188活动在哪里？","活动优惠券","","第一批"
"329","如何开具报价单","知识Agent","知识问答","第一批"
"330","实时计费的服务器，怎么买","ECS云服务使用","辅助购买","第一批"
"331","如何购买按需计费的服务器","ECS云服务使用","辅助购买","第一批"
"332","自定义镜像制作卡住不能取消","知识Agent","知识问答","第一批"
"333","不能取消-","知识Agent","知识问答","第一批"
"334","high-risk system invocation","知识Agent","知识问答","第一批"
"335","激活日期查询","知识Agent","知识问答","第一批"
"336","手机激活日期在哪里查询","知识Agent","知识问答","第一批"
"337","操作保护","知识Agent","知识问答","第一批"
"338","预付费还是后付费是如何判断的","知识Agent","知识问答","第一批"
"339","资金管理-余额提现","知识Agent","知识问答","第一批"
"340","合作伙伴如何处理子客户发起的解除关联事件？","知识Agent","知识问答","第一批"
"341","游戏服务器价格","ECS云服务使用","辅助购买","第一批"
"342","2核8G的游戏服务器价格","ECS云服务使用","辅助购买","第一批"
"343","为什么我配置的spf记录无法生效？","知识Agent","知识问答","第一批"
"344","制作自定义镜像长时间不动","知识Agent","知识问答","第一批"
"345","哪些产品是预付费哪些产品是后付费","知识Agent","知识问答","第一批"
"346","如何选择预付费模式和后付费模式","知识Agent","知识问答","第一批"
"347","安全大模型","知识Agent","知识问答","第一批"
"348","访问镜像源显示无法访问，状态码429","知识Agent","知识问答","第一批"
"349","如何联系运维人员","转人工","转人工","第一批"
"350","已经实名认证但是无法充值","知识Agent","知识问答","第一批"
"351","消费异常","账单与成本管理","账单查询","第一批"
"352","如何解封","知识Agent","知识问答","第一批"
"353","充值提示“请线下联系您的合作伙伴调账以完成充值”","知识Agent","知识问答","第一批"
"354","为什么没有优先抵扣我的代金卷","活动优惠券","","第一批"
"355","ModelArts Standard","知识Agent","知识问答","第一批"
"356","CCE纳管节点失败","CCE云服务使用","节点异常问题诊断","第一批"
"357","移动端","知识Agent","知识问答","第一批"
"358","请列明华为云可以提供哪些产品或服务？","知识Agent","知识问答","第一批"
"359","华为云有哪些产品","知识Agent","知识问答","第一批"
"360","个人申请企业抬头发票申请书可以电子手签吗","发票管理","发票rag","第一批"
"361","68的云服务器活动是否续费也是68","活动优惠券","","第一批"
"362","我4月16日的订单，什么时候能开出发票","发票管理","发票rag","第一批"
"363","RocketMQ开票税率","发票管理","发票rag","第一批"
"364","退款如何提取","知识Agent","知识问答","第一批"
"365","华为云开发者认证,工作级,云安全工作级开发者认证   如何申请退款","订单管理","退订","第一批"
"366","续费怎么用优惠卷","活动优惠券","","第二批"
"367","如何购买华为开发者大会2025门票","知识Agent","知识问答","第一批"
"368","云商店发票开具不了，说要联系客服添加银行信息","转人工","转人工","第二批"
"369","续费有没有优惠呢","活动优惠券","","第一批"
"370","订购的时候使用了优惠券，在退订的时候会怎么处理退款","订单管理","退订rag","第一批"
"371","我要买产品，但是上面显示有待支付订单不能进行当前操作怎么办？","订单管理","知识","第一批"
