id	query	agent	topic
37	将这个Azure函数迁移到华为云FunctionGraph	FunctionGraph云服务使用	函数生成
38	Kindly help in moving the AWS Lambda function over to Huawei Cloud FunctionGraph	FunctionGraph云服务使用	函数生成
39	Please migrate the AWS Lambda function to operate on Huawei Cloud FunctionGraph	FunctionGraph云服务使用	函数生成
40	I need help with migrating my Lambda code from AWS to Huawei Cloud	FunctionGraph云服务使用	函数生成
41	I want to convert my AWS lambda function code to functiongraph	FunctionGraph云服务使用	函数生成
42	I want to migrate my AWS lambda function code to functiongraph	FunctionGraph云服务使用	函数生成
43	I need to transfer my Lambda code from AWS to Huawei Cloud. Can you guide me	FunctionGraph云服务使用	函数生成
44	Can you provide a detailed guide for migrating Lambda functions to Huawei Cloud	FunctionGraph云服务使用	函数生成
45	I need assistance in transferring my AWS Lambda functions to Huawei Cloud	FunctionGraph云服务使用	函数生成
46	请帮我将Lambda应用迁移到华为云函数	FunctionGraph云服务使用	函数生成
47	请帮我将AWS Lambda函数迁移到华为云函数	FunctionGraph云服务使用	函数生成
48	please migrate aws lambda function to run on huawei cloud functiongraph	FunctionGraph云服务使用	函数生成
49	现在停止 6c45da3f-885a-423e-a0ec-55826741a5c5 吧	资源管理	资源关机
50	停止资源 6c45da3f-885a-423e-a0ec-55826741a5c5 	资源管理	资源关机
51	停止状态为维护中的云主机 	资源管理	资源关机
52	停止状态为故障的弹性云服务器 	资源管理	资源关机
53	停止云主机kube-controller-manager-8fe4e5e5-6e26-11ee-bacc-0255ac100b0e 	资源管理	资源关机
54	停止我的弹性云服务器 	资源管理	资源关机
55	停止企业项目为prod-env的虚拟机 	资源管理	资源关机
56	停止企业项目为group-234d的云服务器 	资源管理	资源关机
57	停止名称为hss-agent.cn-north-7.myhuaweicloud.com的虚拟机 	资源管理	资源关机
58	停止安全组为default的云主机 	资源管理	资源关机
59	停止VM 142.25.189.94 	资源管理	资源关机
60	停止ip为166.46.81.238的云服务器 	资源管理	资源关机
61	停止id为804a86a206f942f8be5717fa58ce1f33的云服务器 	资源管理	资源关机
62	停止 HSS_NETWORK 	资源管理	资源关机
63	停止 34.172.54.9	资源管理	资源关机
64	停止 1c2bf6db-ee6b-4c0c-9421-00d24080d4a4 	资源管理	资源关机
65	停止 192.168.162.185 	资源管理	资源关机
66	停掉状态为运行中的弹性云服务器	资源管理	资源关机
67	停掉状态为异常的VM	资源管理	资源关机
68	停掉云主机dcs-consolesearch	资源管理	资源关机
69	停掉云主机8e8895ba-8939-42b9-8d53-c454ba8f5c24	资源管理	资源关机
70	停掉云服务器vpc-TinyBFF	资源管理	资源关机
71	停掉虚拟机ecs-9ad0	资源管理	资源关机
72	停掉虚拟机	资源管理	资源关机
73	停掉名称为ecs-8fcdd的云主机	资源管理	资源关机
74	停掉名称为ecs-41fc-aa6c-gp-gpu的ECS实例	资源管理	资源关机
75	关闭名称为autobk_2f69的云服务器 	资源管理	资源关机
76	停掉名称为cn-north-7.cloudide.3b547420-07e3-45f4-8623-00d0f58ab79a的ECS	资源管理	资源关机
77	停掉服务器 933ae6be-bc4d-4246-90c1-11e2158563bf 	资源管理	资源关机
78	停止名称为consolesearch-kafka的服务器	资源管理	资源关机
79	关机名称为consolesearch-kafka的服务器	资源管理	资源关机
80	停掉当前运行的所有弹性云服务器	资源管理	资源关机
81	停掉本周启动的所有虚拟机	资源管理	资源关机
82	停掉安全组为sg-default的虚拟机	资源管理	资源关机
83	停掉ip为99.87.251.203的ECS	资源管理	资源关机
84	关闭名称为grp_op_das_readonly的云服务器	资源管理	资源关机
85	停止名称为grp_op_das_readonly的云服务器	资源管理	资源关机
86	停掉ip为10.121.181.75的虚拟机	资源管理	资源关机
87	停掉ip为10.117.196.56的虚拟机	资源管理	资源关机
88	关机名称为rms_tracker_agency的服务器	资源管理	资源关机
89	停止名称为test_ConsoleSearch的服务器	资源管理	资源关机
90	停掉id为8e8895ba-8939-42b9-8d53-c454ba8f5c24的弹性云服务器	资源管理	资源关机
91	停掉 op_svc_tiny_ccms_64f37133	资源管理	资源关机
92	停掉 HSS_NETWORK	资源管理	资源关机
93	停掉 93b66b71-ed49-4217-8664-e6bf6318a3d0	资源管理	资源关机
94	停掉 9087b0af2a414287ab23810807e633c9	资源管理	资源关机
95	停掉 231.16.245.193	资源管理	资源关机
96	停止企业项目为default的ECS	资源管理	资源关机
97	查询企业项目为default的ECS并停掉 	资源管理	资源关机
98	停掉 231.16.245.193	资源管理	资源关机
99	关闭企业项目为test-project的ECS	资源管理	资源关机
100	请停掉虚拟机	资源管理	资源关机
101	请关机 172.27.93.171	资源管理	资源关机
102	能否关闭 consolesearch-standby-53698-volume-0000？	资源管理	资源关机
103	立即停掉 933ae6be-bc4d-4246-90c1-11e2158563bf 	资源管理	资源关机
104	将云主机关机	资源管理	资源关机
105	将VM关机	资源管理	资源关机
106	关机最近一天内启动的弹性云服务器 	资源管理	资源关机
107	关机资源 172.27.93.171	资源管理	资源关机
108	关机状态为待机的弹性云服务器	资源管理	资源关机
109	关机云服务器	资源管理	资源关机
110	关机虚拟机kube-controller-manager-8fe4e5e5-6e26-11ee-bacc-0255ac100b0e	资源管理	资源关机
111	关机虚拟机HSS_NETWORK	资源管理	资源关机
112	关机虚拟机com.myhuaweicloud.cn-north-7.apigw_gray	资源管理	资源关机
113	关机虚拟机161.24.120.33	资源管理	资源关机
114	关机所有的云服务器	资源管理	资源关机
115	关机上周启动的云服务器	资源管理	资源关机
116	关机名称为cn-north-7.hui0005.5428a57e-b03b-42df-894b-b7be83c1f0d2的VM	资源管理	资源关机
117	关机服务器 172.27.93.171	资源管理	资源关机
118	关机弹性云服务器	资源管理	资源关机
119	关机安全组为sg-test的云主机	资源管理	资源关机
120	关机 2d2ec421-c6ca-4fd2-ab17-6ddd200e150c	资源管理	资源关机
121	关闭最近一周内启动的虚拟机	资源管理	资源关机
122	关闭最近一个月内创建的服务器	资源管理	资源关机
123	关闭资源 consolesearch-standby-53698-volume-0000	资源管理	资源关机
124	关闭云主机c442fd96-f71c-488d-8e3f-3b7796b505bd	资源管理	资源关机
125	关闭云主机4f40a69e-64b7-454f-a5b3-7bf4201f0f3c	资源管理	资源关机
126	关闭云服务器consolesearch-standby-53698-volume-0000	资源管理	资源关机
127	关闭虚拟机10.87.186.106	资源管理	资源关机
128	关闭所有ECS	资源管理	资源关机
129	关闭名称为rtb-vpc-default-smb的虚拟机	资源管理	资源关机
130	关闭名称为ecs-8fcdd的云主机	资源管理	资源关机
131	关闭今天创建的虚拟机	资源管理	资源关机
132	关闭服务器 consolesearch-standby-53698-volume-0000	资源管理	资源关机
133	关闭弹性云服务器172.16.211.35	资源管理	资源关机
134	关闭安全组为sg-3wgd的服务器	资源管理	资源关机
135	关闭VM实例k8s_HTTPS_443	资源管理	资源关机
136	关闭VM实例33478c27-f212-479d-b7e2-0ea0fce20425	资源管理	资源关机
137	关闭ip为49.229.121.150的ECS	资源管理	资源关机
138	关闭ip为192.168.122.102的虚拟机	资源管理	资源关机
139	关闭ip为192.168.115.114的弹性云服务器	资源管理	资源关机
140	关闭ip为142.130.29.147的云服务器	资源管理	资源关机
141	关闭ip为10.121.181.75的虚拟机	资源管理	资源关机
142	关闭id为804a86a206f942f8be5717fa58ce1f33的云主机	资源管理	资源关机
143	关闭id为0ff86d42-6f13-11ee-bb86-0255ac1001bb的虚拟机	资源管理	资源关机
144	关闭id为01ea11b3-3218-4257-b465-c33a0f3f3247的云服务器	资源管理	资源关机
145	关闭ECS实例	资源管理	资源关机
146	关闭 k8s_consolesearch-server_consolesearch-server-service-canary-8082_HTTPS-443_weightCanary	资源管理	资源关机
147	关闭 e06364e4-2f1b-4274-a610-740db55b2ae0	资源管理	资源关机
148	关闭 4d62743b-4450-4ff5-a09b-7c23935d3442	资源管理	资源关机
149	关闭 226.79.61.240	资源管理	资源关机
150	关闭 10.121.181.75	资源管理	资源关机
151	查找状态为关闭的云服务器并关机 	资源管理	资源关机
152	查找运行状态的云主机并关机	资源管理	资源关机
153	查找运行状态的虚拟机并关机	资源管理	资源关机
154	查找运行状态的VM并停止 	资源管理	资源关机
155	查找上周创建的云服务器并关机	资源管理	资源关机
156	查找企业项目为group-234d的安全组对应的云服务器并关机	资源管理	资源关机
157	查找企业项目为eps-tsef的云服务器并停止	资源管理	资源关机
158	查找企业项目为eps-tsef的安全组对应的服务器并停止	资源管理	资源关机
159	查找今年创建的云主机并停止	资源管理	资源关机
160	查找今年创建的虚拟机并关机	资源管理	资源关机
161	查找安全组为sg-3wgd的云主机并关机	资源管理	资源关机
162	查找安全组为default的云服务器并停掉	资源管理	资源关机
163	查询状态为关闭的虚拟机并关闭	资源管理	资源关机
164	查询状态为关闭的ECS并停止	资源管理	资源关机
165	查询运行状态的服务器并停掉	资源管理	资源关机
166	查询运行状态的弹性云服务器并关闭	资源管理	资源关机
167	查询上周创建的云主机并停掉	资源管理	资源关机
168	查询企业项目为default的安全组对应的ECS并停掉	资源管理	资源关机
169	查询今年创建的服务器并关闭	资源管理	资源关机
170	查询今年创建的ECS并停掉	资源管理	资源关机
171	关机企业项目为project-123的云服务器	资源管理	资源关机
172	请帮我关机ECS	资源管理	资源关机
173	停掉云服务器	资源管理	资源关机
174	关闭 HSS_NETWORK	资源管理	资源关机
175	关机 172.27.93.171	资源管理	资源关机
176	关闭 consolesearch-standby-53698-volume-0000	资源管理	资源关机
177	停止 28.146.102.31	资源管理	资源关机
178	停掉资源 933ae6be-bc4d-4246-90c1-11e2158563bf	资源管理	资源关机
179	停止服务器subnet-975c	资源管理	资源关机
180	关机今年新增的云主机 	资源管理	资源关机
181	停掉企业项目为eps-tsef的服务器	资源管理	资源关机
182	停止状态为停止中的服务器	资源管理	资源关机
183	停掉状态为暂停的服务器	资源管理	资源关机
184	启动ECS 	资源管理	资源开机
185	开启云服务器	资源管理	资源开机
186	启动虚拟机	资源管理	资源开机
187	开机云主机	资源管理	资源开机
188	启动弹性云服务器	资源管理	资源开机
189	开启服务器	资源管理	资源开机
190	启动云主机	资源管理	资源开机
191	开机服务器	资源管理	资源开机
192	启动资源 HSS_NETWORK	资源管理	资源开机
193	开启 tomcat-accesslog-standby	资源管理	资源开机
194	开机 10.87.186.106	资源管理	资源开机
195	启动 IP 地址为 10.136.4.97 的资源 	资源管理	资源开机
196	开启 ID 为 71a0c691-d212-4b0e-b0b6-6df4a8d420f9 的资源	资源管理	资源开机
197	启动资源 37.114.16.221	资源管理	资源开机
198	开启名称为 ecs-测试使用 的资源	资源管理	资源开机
199	启动 IP 地址为 235.29.162.152 的实例	资源管理	资源开机
200	开机 rtb-vpc-console-copilot-default	资源管理	资源开机
201	启动 IP 地址为 193.175.131.19 的设备	资源管理	资源开机
202	开启 css_8fbf49a6-6381-4758-96f4-da382e83321d	资源管理	资源开机
203	开启名称为 rtb-vpc-console-copilot-default 的设备	资源管理	资源开机
204	启动 IP 地址为 142.25.189.94 的资源	资源管理	资源开机
205	开机名称为 css_8fbf49a6-6381-4758-96f4-da382e83321d 的实例	资源管理	资源开机
206	启动资源 bd9ab423-0af3-4242-aad9-cc45fe6e3407	资源管理	资源开机
207	开启 IP 地址 172.30.152.128 的资源	资源管理	资源开机
208	启动名为 css_8fbf49a6-6381-4758-96f4-da382e83321d 的资源	资源管理	资源开机
209	开机处理资源 rtb-vpc-cbc5	资源管理	资源开机
210	启动ecs-41fc-aa6c-gp-gpu 资源	资源管理	资源开机
211	开启 IP 地址为 172.22.11.30 的资源	资源管理	资源开机
212	启动资源 201.207.99.0	资源管理	资源开机
213	开启标识为 3b547420-07e3-45f4-8623-00d0f58ab79a 的资源	资源管理	资源开机
214	启动 IP 地址 10.117.196.56 对应的资源	资源管理	资源开机
215	开启 ID 为 994271b8-724a-444f-bd97-14da0e8dbda0 的资源	资源管理	资源开机
216	启动 kafka-261183055 名称的资源	资源管理	资源开机
217	开启 subnet-9cb2 资源 	资源管理	资源开机
218	启动 IP 地址 172.19.234.142 的资源	资源管理	资源开机
219	启动 k8s_console-copilot-namespace_consolecopilot-server-service-canary-8080_HTTPS-443_weightCanary 资源	资源管理	资源开机
220	开启资源 bd9ab423-0af3-4242-aad9-cc45fe6e3407	资源管理	资源开机
221	启动 IP 地址 172.30.152.128 的资源	资源管理	资源开机
222	开启名为 css_8fbf49a6-6381-4758-96f4-da382e83321d 的资源	资源管理	资源开机
223	启动资源 rtb-vpc-cbc5	资源管理	资源开机
224	启动ecs-41fc-aa6c-gp-gpu 资源	资源管理	资源开机
225	开启 IP 地址为 172.22.11.30 的资源	资源管理	资源开机
226	启动资源 201.207.99.0 	资源管理	资源开机
227	开启标识为 3b547420-07e3-45f4-8623-00d0f58ab79a 的资源	资源管理	资源开机
228	启动服务器 server_group-bb34	资源管理	资源开机
229	开启虚拟机 179c42ba-62c1-4ab0-ae96-b8c6ed9fcce7	资源管理	资源开机
230	开机资源 192.168.121.2	资源管理	资源开机
231	启动云主机 k8s_consolesearch-server_consolesearch-server-service-canary-8082_HTTPS-443_weightCanary	资源管理	资源开机
232	开启虚拟机 192.168.12.19	资源管理	资源开机
233	启动云主机 subnet-9cb2	资源管理	资源开机
234	开机资源 10.20.217.93	资源管理	资源开机
235	启动服务器 71a0c691-d212-4b0e-b0b6-6df4a8d420f9 	资源管理	资源开机
236	开启虚拟机 109.136.212.86	资源管理	资源开机
237	启动云主机 233.201.40.214	资源管理	资源开机
238	开机资源 6c45da3f-885a-423e-a0ec-55826741a5c5	资源管理	资源开机
239	开启虚拟机 734abeb80f1cf75695fd24213eca4f07 	资源管理	资源开机
240	启动云主机 179c42ba-62c1-4ab0-ae96-b8c6ed9fcce7	资源管理	资源开机
241	开机资源 192.168.121.2	资源管理	资源开机
242	开启虚拟机 k8s_consolesearch-server_consolesearch-server-service-canary-8082_HTTPS-443_weightCanary	资源管理	资源开机
243	启动云主机 688ed260-4e27-4a1a-a731-93429db76451	资源管理	资源开机
244	开机资源 vpc-1234	资源管理	资源开机
245	启动虚拟机 a2e8b59d-57a3-465a-ab94-db0771ba42be	资源管理	资源开机
246	开启ip为192.168.12.19的虚拟机	资源管理	资源开机
247	启动id为4f40a69e-64b7-454f-a5b3-7bf4201f0f3c的ECS实例	资源管理	资源开机
248	启动id为423d889a-1370-4b9f-accf-36623a769f93的云主机	资源管理	资源开机
249	开机名称为grp_op_das_readonly的弹性云服务器	资源管理	资源开机
250	启动ip为10.117.196.56的云服务器	资源管理	资源开机
251	启动ip为49.229.121.150的云主机	资源管理	资源开机
252	开启id为3b547420-07e3-45f4-8623-00d0f58ab79a的虚拟机	资源管理	资源开机
253	启动id为e0b8aa95-ed16-42eb-bca8-690758e5f970的虚拟机	资源管理	资源开机
254	开启ip为10.11.177.33的云服务器	资源管理	资源开机
255	启动名称为tomcat-accesslog-standby的ECS实例	资源管理	资源开机
256	开机id为0ff86d42-6f13-11ee-bb86-0255ac1001bb的服务器	资源管理	资源开机
257	启动ip为128.176.194.107的弹性云服务器	资源管理	资源开机
258	开启名称为hss-agent.cn-north-7.myhuaweicloud.com的云主机	资源管理	资源开机
259	启动id为e06364e4-2f1b-4274-a610-740db55b2ae0的VM 	资源管理	资源开机
260	开启ip为10.173.237.112的虚拟机	资源管理	资源开机
261	启动名称为cn-north-7.hui0005.5428a57e-b03b-42df-894b-b7be83c1f0d2的云服务器	资源管理	资源开机
262	开机id为873f4244-c563-4a4e-81fd-51a90955a4be的服务器	资源管理	资源开机
263	启动名称为HSS_NETWORK的ECS实例	资源管理	资源开机
264	开启id为1c2bf6db-ee6b-4c0c-9421-00d24080d4a4的云主机	资源管理	资源开机
265	启动ip为10.11.177.33的弹性云服务器	资源管理	资源开机
266	开启名称为h60052479的虚拟机	资源管理	资源开机
267	启动id为e0b8aa95-ed16-42eb-bca8-690758e5f970的云服务器	资源管理	资源开机
268	开机ip为128.176.194.107的虚拟机	资源管理	资源开机
269	开机上周创建的弹性云服务器	资源管理	资源开机
270	启动状态为关闭的虚拟机	资源管理	资源开机
271	开启企业项目为default的云主机	资源管理	资源开机
272	启动安全组为sg-3wgd的服务器	资源管理	资源开机
273	开机今年创建的ECS云服务器	资源管理	资源开机
274	启动运行状态的VM	资源管理	资源开机
275	开启企业项目为eps-tsef的云服务器	资源管理	资源开机
276	启动上周创建且状态为关闭的虚拟机 	资源管理	资源开机
277	开机企业项目为group-234d的安全组为default的服务器 	资源管理	资源开机
278	启动今年创建且运行状态的云主机	资源管理	资源开机
279	开启弹性云服务器	资源管理	资源开机
280	启动云服务器	资源管理	资源开机
281	开机虚拟机	资源管理	资源开机
282	启动上周创建的服务器	资源管理	资源开机
283	开启状态为关闭的ECS云服务器 	资源管理	资源开机
284	启动企业项目为default的VM	资源管理	资源开机
285	开机安全组为sg-3wgd的云主机	资源管理	资源开机
286	启动今年创建的弹性云服务器	资源管理	资源开机
287	开启运行状态的云服务器	资源管理	资源开机
288	启动企业项目为eps-tsef的虚拟机	资源管理	资源开机
289	开机上周创建且状态为关闭的云主机	资源管理	资源开机
290	启动企业项目为group-234d的安全组为default的ECS云服务器	资源管理	资源开机
291	开启今年创建且运行状态的服务器	资源管理	资源开机
292	开启上周创建的服务器	资源管理	资源开机
293	启动状态为关闭的ECS云服务器	资源管理	资源开机
294	查询上周创建的弹性云服务器并启动	资源管理	资源开机
295	查找状态为关闭的虚拟机并开启	资源管理	资源开机
296	查询企业项目为default的云主机并开机 	资源管理	资源开机
297	查找安全组为sg-3wgd的服务器并启动	资源管理	资源开机
298	查询今年创建的ECS并开机	资源管理	资源开机
299	查找运行状态的云服务器并启动	资源管理	资源开机
300	查询企业项目为group-234d的VM并开启	资源管理	资源开机
301	查找安全组为default的云主机并启动	资源管理	资源开机
302	查询上周创建且状态为关闭的虚拟机并开机	资源管理	资源开机
303	查找企业项目为eps-tsef且运行状态的云服务器并启动	资源管理	资源开机
304	查询安全组为sg-3wgd且今年创建的服务器并开启	资源管理	资源开机
305	查找状态为关闭的ECS并启动	资源管理	资源开机
306	查找安全组为default的云服务器并启动	资源管理	资源开机
307	查询今年创建的虚拟机并开机	资源管理	资源开机
308	查找运行状态的ECS并启动	资源管理	资源开机
309	查询企业项目为group-234d的云主机并开启	资源管理	资源开机
310	查找安全组为sg-3wgd的服务器并启动	资源管理	资源开机
311	查询上周创建的云服务器并开机	资源管理	资源开机
312	查找状态为关闭的VM并启动	资源管理	资源开机
313	查询企业项目为default的云主机并开机	资源管理	资源开机
314	查找安全组为default的云服务器并启动	资源管理	资源开机
315	查询今年创建的虚拟机并开机	资源管理	资源开机
316	查找运行状态的ECS并启动	资源管理	资源开机
317	查询企业项目为group-234d的云主机并开启	资源管理	资源开机
318	查找安全组为sg-3wgd的服务器并启动	资源管理	资源开机
319	ECS如何关机	资源管理	资源关机
320	ECS资源如何让关机	资源管理	资源关机
321	怎么关机弹性云服务器	资源管理	资源关机
322	服务器 关机	资源管理	资源关机
323	ECS资源可以关机吗	资源管理	资源关机
324	我要关机	资源管理	资源关机
325	关机虚拟机编号vm-8888	资源管理	资源关机
326	我的服务器怎么关掉 	资源管理	资源关机
327	关闭服务器	资源管理	资源关机
328	关机主机	资源管理	资源关机
329	云服务器从哪里关机	资源管理	资源关机
330	买了个服务器怎么关机 	资源管理	资源关机
331	停掉主机	资源管理	资源关机
332	主机运行状态怎么关机	资源管理	资源关机
333	ECS关机	资源管理	资源关机
334	开机虚拟机编号vm-8888	资源管理	资源开机
335	服务器开机	资源管理	资源开机
336	云服务器从哪里开机	资源管理	资源开机
337	关机状态怎么开机	资源管理	资源开机
338	我的服务器关机了怎么开机	资源管理	资源开机
339	ECS资源如何开机	资源管理	资源开机
340	我要开机	资源管理	资源开机
341	ECS资源如何开机	资源管理	资源开机
342	云服务器主机怎么开机	资源管理	资源开机
343	开机	资源管理	资源开机
344	怎么去启动我的云服务器	资源管理	资源开机
345	ECS如何启动实例	资源管理	资源开机
346	开机主机	资源管理	资源开机
347	服务器启动	资源管理	资源开机
348	怎么开机	资源管理	资源开机
349	查询是否账号下还有云硬盘，是否已经删除	资源管理	资源查询
350	怎么查看自己有几台服务器	资源管理	资源查询
351	想查询账号下服务器资源	资源管理	资源查询
352	我创建了一个桶，但最近发无法找不到了。请问如何查找	资源管理-否	nan
353	如何查看购买的云硬盘	资源管理	资源查询
354	modelarts一直在扣费，找不到在哪	资源管理-否	nan
355	你好，我去年11月份买的这个弹性云服务器，但是现在在实例里找不到这个服务器了。。。。。。而且远程也登陆不上去	资源管理-否	nan
356	查一下这个账号最近一个月创建了哪些资源	资源管理	资源查询
357	看下包含了8088端口的安全组	资源管理	资源查询
358	能查到这个192.168.0.203服务器在不在我的账号下？	资源管理	资源查询
359	192.168.0.203 192.168.0.58我司这两台主机是ECS吗，为何我找不到	资源管理-否	nan
360	帮忙查下我虚机绑的ip是啥	资源管理	资源查询
361	我想查询一下哪个资源在按需计费	资源管理-否	nan
362	这个账号下有没有独享型的ELB	资源管理	资源查询
363	对象存储是标准存储，前几天到期了，今天想续费在续费资源里找不到是为什么	资源管理-否	nan
364	今天重新买了一台云耀云，还没有挂任何程序cpu就被占用100%，且在控制台上找不到我的主机	资源管理-否	nan
365	帮我查下账号里还有没v1.29的CCE集群	资源管理	资源查询
366	查一下现在账号里共享带宽的EIP	资源管理	资源查询
367	查询账号下服务器具体规格	资源管理	资源查询
368	查询账号下的ecs的ip是多少	资源管理	资源查询
369	查询账号下资源信息，不知道服务器云硬盘带宽这些是干嘛的	资源管理-否	nan
370	统计下我不同服务的数量	资源管理	资源查询
371	帮我按企业项目统计下虚机的数量	资源管理	资源查询
372	能不能按区域统计下EVS的容量啊	资源管理	资源查询
373	导航到我的备案	页面导航	快捷导航
374	跳转到授权码管理	页面导航	快捷导航
375	打开我的资源页面	页面导航	快捷导航
376	进入企业界面	页面导航	快捷导航
377	导航至API Explorer	页面导航	快捷导航
378	跳转价格计算器	页面导航	快捷导航
379	打开云商店查看相关内容	页面导航	快捷导航
380	进入站内消息	页面导航	快捷导航
381	导航到支持计划页面	页面导航	快捷导航
382	跳转至专业服务页面	页面导航	快捷导航
383	打开基本信息页面	页面导航	快捷导航
384	进入安全设置页面	页面导航	快捷导航
385	导航到我的凭证页面	页面导航	快捷导航
386	跳转标签管理页面	页面导航	快捷导航
387	打开操作日志进行查看	页面导航	快捷导航
388	进入帮助中心获取更多信息	页面导航	快捷导航
389	导航到我的备案并检查状态	页面导航	快捷导航
390	跳转至授权码管理以更新内容	页面导航	快捷导航
391	打开我的资源页面	页面导航	快捷导航
392	进入企业页面进行配置	页面导航	快捷导航
393	导航至API Explorer以测试接口	页面导航	快捷导航
394	跳转价格计算器	页面导航	快捷导航
395	打开云商店以寻找合适的工具	页面导航	快捷导航
396	进入站内消息以查看最新通知	页面导航	快捷导航
397	导航到支持计划页面以了解详细信息	页面导航	快捷导航
398	跳转至专业服务页面以获取帮助	页面导航	快捷导航
399	打开基本信息页面以更新资料	页面导航	快捷导航
400	进入安全设置页面以增强账户保护	页面导航	快捷导航
401	导航到我的凭证页面以管理密钥	页面导航	快捷导航
402	跳转标签管理页面以组织资源	页面导航	快捷导航
403	打开操作日志页面以审计活动	页面导航	快捷导航
404	进入帮助中心以解决常见问题	页面导航	快捷导航
405	在哪看下账号凭证	页面导航	快捷导航
406	查看我的备案	页面导航	快捷导航
407	打开api explorer	页面导航	快捷导航
408	打开操作日志页面	页面导航	快捷导航
409	看下账号的操作日志	页面导航	快捷导航
410	导航到ELB控制台	页面导航	快捷导航
411	跳转到弹性公网IP控制台	页面导航	快捷导航
412	打开对象存储服务文档	页面导航	快捷导航
413	进入虚拟机总览页	页面导航	快捷导航
414	导航到DDS数据库帮助中心	页面导航	快捷导航
415	跳转到VPC控制台	页面导航	快捷导航
416	打开Database总览页	页面导航	快捷导航
417	进入EVS帮助中心	页面导航	快捷导航
418	导航到服务器文档	页面导航	快捷导航
419	打开VM列表页	页面导航	快捷导航
420	导航到ELB	页面导航	快捷导航
